Plot Title: T1B,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20548756, SEN S/N: 20548756, LBL: T1B)",Coupler Detached (LGR S/N: 20548756),Coupler Attached (LGR S/N: 20548756),Host Connected (LGR S/N: 20548756),Stopped (LGR S/N: 20548756),End Of File (LGR S/N: 20548756)
1865,6/24/24 0:08,14.517,,,,,
1866,6/24/24 0:23,14.517,,,,,
1867,6/24/24 0:38,14.517,,,,,
1868,6/24/24 0:53,14.517,,,,,
1869,6/24/24 1:08,14.517,,,,,
1870,6/24/24 1:23,14.517,,,,,
1871,6/24/24 1:38,14.517,,,,,
1872,6/24/24 1:53,14.517,,,,,
1873,6/24/24 2:08,14.517,,,,,
1874,6/24/24 2:23,14.517,,,,,
1875,6/24/24 2:38,14.517,,,,,
1876,6/24/24 2:53,14.517,,,,,
1877,6/24/24 3:08,14.517,,,,,
1878,6/24/24 3:23,14.517,,,,,
1879,6/24/24 3:38,14.517,,,,,
1880,6/24/24 3:53,14.517,,,,,
1881,6/24/24 4:08,14.517,,,,,
1882,6/24/24 4:23,14.517,,,,,
1883,6/24/24 4:38,14.517,,,,,
1884,6/24/24 4:53,14.517,,,,,
1885,6/24/24 5:08,14.517,,,,,
1886,6/24/24 5:23,14.517,,,,,
1887,6/24/24 5:38,14.517,,,,,
1888,6/24/24 5:53,14.517,,,,,
1889,6/24/24 6:08,14.517,,,,,
1890,6/24/24 6:23,14.517,,,,,
1891,6/24/24 6:38,14.517,,,,,
1892,6/24/24 6:53,14.517,,,,,
1893,6/24/24 7:08,14.517,,,,,
1894,6/24/24 7:23,14.517,,,,,
1895,6/24/24 7:38,14.517,,,,,
1896,6/24/24 7:53,14.517,,,,,
1897,6/24/24 8:08,14.517,,,,,
1898,6/24/24 8:23,14.517,,,,,
1899,6/24/24 8:38,14.517,,,,,
1900,6/24/24 8:53,14.517,,,,,
1901,6/24/24 9:08,14.517,,,,,
1902,6/24/24 9:23,14.517,,,,,
1903,6/24/24 9:38,14.517,,,,,
1904,6/24/24 9:53,14.517,,,,,
1905,6/24/24 10:08,14.517,,,,,
1906,6/24/24 10:23,14.517,,,,,
1907,6/24/24 10:38,14.517,,,,,
1908,6/24/24 10:53,14.517,,,,,
1909,6/24/24 11:08,14.517,,,,,
1910,6/24/24 11:23,14.517,,,,,
1911,6/24/24 11:38,14.613,,,,,
1912,6/24/24 11:53,14.613,,,,,
1913,6/24/24 12:08,14.613,,,,,
1914,6/24/24 12:23,14.613,,,,,
1915,6/24/24 12:38,14.421,,,,,
1916,6/24/24 12:53,14.038,,,,,
