Plot Title: T3A,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 21435198, SEN S/N: 21435198, LBL: T3A)",Coupler Detached (LGR S/N: 21435198),Coupler Attached (LGR S/N: 21435198),Host Connected (LGR S/N: 21435198),Stopped (LGR S/N: 21435198),End Of File (LGR S/N: 21435198)
530,6/24/24 0:03,14.709,,,,,
531,6/24/24 0:18,14.613,,,,,
532,6/24/24 0:33,14.613,,,,,
533,6/24/24 0:48,14.613,,,,,
534,6/24/24 1:03,14.613,,,,,
535,6/24/24 1:18,14.613,,,,,
536,6/24/24 1:33,14.613,,,,,
537,6/24/24 1:48,14.613,,,,,
538,6/24/24 2:03,14.613,,,,,
539,6/24/24 2:18,14.517,,,,,
540,6/24/24 2:33,14.613,,,,,
541,6/24/24 2:48,14.613,,,,,
542,6/24/24 3:03,14.613,,,,,
543,6/24/24 3:18,14.613,,,,,
544,6/24/24 3:33,14.517,,,,,
545,6/24/24 3:48,14.517,,,,,
546,6/24/24 4:03,14.613,,,,,
547,6/24/24 4:18,14.517,,,,,
548,6/24/24 4:33,14.517,,,,,
549,6/24/24 4:48,14.517,,,,,
550,6/24/24 5:03,14.517,,,,,
551,6/24/24 5:18,14.517,,,,,
552,6/24/24 5:33,14.517,,,,,
553,6/24/24 5:48,14.517,,,,,
554,6/24/24 6:03,14.517,,,,,
555,6/24/24 6:18,14.517,,,,,
556,6/24/24 6:33,14.517,,,,,
557,6/24/24 6:48,14.517,,,,,
558,6/24/24 7:03,14.517,,,,,
559,6/24/24 7:18,14.517,,,,,
560,6/24/24 7:33,14.613,,,,,
561,6/24/24 7:48,14.613,,,,,
562,6/24/24 8:03,14.613,,,,,
563,6/24/24 8:18,14.613,,,,,
564,6/24/24 8:33,14.613,,,,,
565,6/24/24 8:48,14.613,,,,,
566,6/24/24 9:03,14.613,,,,,
567,6/24/24 9:18,14.613,,,,,
568,6/24/24 9:33,14.613,,,,,
569,6/24/24 9:48,14.613,,,,,
570,6/24/24 10:03,14.709,,,,,
571,6/24/24 10:18,14.804,,,,,
572,6/24/24 10:33,14.804,,,,,
573,6/24/24 10:48,14.709,,,,,
574,6/24/24 11:03,14.613,,,,,
575,6/24/24 11:18,14.517,,,,,
576,6/24/24 11:33,14.613,,,,,
577,6/24/24 11:48,14.613,,,,,
578,6/24/24 12:03,14.613,,,,,
579,6/24/24 12:18,14.517,,,,,
580,6/24/24 12:33,13.942,,,,,
581,6/24/24 12:48,13.365,,,,,
582,6/24/24 13:03,12.69,,,,,
583,6/24/24 13:18,12.11,,,,,
584,6/24/24 13:33,11.431,,,,,
585,6/24/24 13:48,10.944,,,,,
586,6/24/24 14:03,10.455,,,,,
587,6/24/24 14:18,9.866,,,,,
588,6/24/24 14:33,9.472,,,,,
589,6/24/24 14:48,8.978,,,,,
590,6/24/24 15:03,8.382,,,,,
591,6/24/24 15:18,7.682,,,,,
592,6/24/24 15:33,7.179,,,,,
593,6/24/24 15:48,6.573,,,,,
594,6/24/24 16:03,6.471,,,,,
595,6/24/24 16:18,6.37,,,,,
596,6/24/24 16:33,6.166,,,,,
597,6/24/24 16:48,5.86,,,,,
598,6/24/24 17:03,5.552,,,,,
599,6/24/24 17:18,6.064,,,,,
600,6/24/24 17:33,5.757,,,,,
601,6/24/24 17:48,5.45,,,,,
602,6/24/24 18:03,5.141,,,,,
603,6/24/24 18:18,4.934,,,,,
604,6/24/24 18:33,4.727,,,,,
605,6/24/24 18:48,4.519,,,,,
606,6/24/24 19:03,4.311,,,,,
607,6/24/24 19:18,4.102,,,,,
608,6/24/24 19:33,3.893,,,,,
609,6/24/24 19:48,3.788,,,,,
610,6/24/24 20:03,3.578,,,,,
611,6/24/24 20:18,3.472,,,,,
612,6/24/24 20:33,3.367,,,,,
613,6/24/24 20:48,3.261,,,,,
614,6/24/24 21:03,3.049,,,,,
615,6/24/24 21:18,2.943,,,,,
616,6/24/24 21:33,2.837,,,,,
617,6/24/24 21:48,2.73,,,,,
618,6/24/24 22:03,2.624,,,,,
619,6/24/24 22:18,2.517,,,,,
620,6/24/24 22:33,2.517,,,,,
621,6/24/24 22:48,2.41,,,,,
622,6/24/24 23:03,2.303,,,,,
623,6/24/24 23:18,2.195,,,,,
624,6/24/24 23:33,2.195,,,,,
625,6/24/24 23:48,2.088,,,,,
626,6/25/24 0:03,2.088,,,,,
627,6/25/24 0:18,1.98,,,,,
628,6/25/24 0:33,1.98,,,,,
629,6/25/24 0:48,1.872,,,,,
630,6/25/24 1:03,1.872,,,,,
631,6/25/24 1:18,1.764,,,,,
632,6/25/24 1:33,1.764,,,,,
633,6/25/24 1:48,1.656,,,,,
634,6/25/24 2:03,1.656,,,,,
635,6/25/24 2:18,1.656,,,,,
636,6/25/24 2:33,1.656,,,,,
637,6/25/24 2:48,1.548,,,,,
638,6/25/24 3:03,1.548,,,,,
639,6/25/24 3:18,1.548,,,,,
640,6/25/24 3:33,1.548,,,,,
641,6/25/24 3:48,1.439,,,,,
642,6/25/24 4:03,1.439,,,,,
643,6/25/24 4:18,1.439,,,,,
644,6/25/24 4:33,1.439,,,,,
645,6/25/24 4:48,1.439,,,,,
646,6/25/24 5:03,1.33,,,,,
647,6/25/24 5:18,1.33,,,,,
648,6/25/24 5:33,1.33,,,,,
649,6/25/24 5:48,1.33,,,,,
650,6/25/24 6:03,1.33,,,,,
651,6/25/24 6:18,1.33,,,,,
652,6/25/24 6:33,1.33,,,,,
653,6/25/24 6:48,1.33,,,,,
654,6/25/24 7:03,1.33,,,,,
655,6/25/24 7:18,1.33,,,,,
656,6/25/24 7:33,1.221,,,,,
657,6/25/24 7:48,1.221,,,,,
658,6/25/24 8:03,1.221,,,,,
661,6/25/24 8:18,1.872,,,,,
662,6/25/24 8:33,1.439,,,,,
663,6/25/24 8:48,1.439,,,,,
664,6/25/24 9:03,1.33,,,,,
665,6/25/24 9:18,1.33,,,,,
666,6/25/24 9:33,1.33,,,,,
667,6/25/24 9:48,1.33,,,,,
668,6/25/24 10:03,1.33,,,,,
669,6/25/24 10:18,1.33,,,,,
670,6/25/24 10:33,1.33,,,,,
671,6/25/24 10:48,1.33,,,,,
672,6/25/24 11:03,1.33,,,,,
673,6/25/24 11:18,1.33,,,,,
674,6/25/24 11:33,1.439,,,,,
675,6/25/24 11:48,1.33,,,,,
676,6/25/24 12:03,1.439,,,,,
677,6/25/24 12:18,1.439,,,,,
678,6/25/24 12:33,1.439,,,,,
679,6/25/24 12:48,1.439,,,,,
680,6/25/24 13:03,1.439,,,,,
681,6/25/24 13:18,1.439,,,,,
682,6/25/24 13:33,1.439,,,,,
683,6/25/24 13:48,1.439,,,,,
684,6/25/24 14:03,1.548,,,,,
685,6/25/24 14:18,1.439,,,,,
686,6/25/24 14:33,1.548,,,,,
687,6/25/24 14:48,1.548,,,,,
688,6/25/24 15:03,1.548,,,,,
689,6/25/24 15:18,1.656,,,,,
690,6/25/24 15:33,1.764,,,,,
691,6/25/24 15:48,1.764,,,,,
692,6/25/24 16:03,1.764,,,,,
693,6/25/24 16:18,1.764,,,,,
694,6/25/24 16:33,1.764,,,,,
695,6/25/24 16:48,1.764,,,,,
696,6/25/24 17:03,1.764,,,,,
697,6/25/24 17:18,1.764,,,,,
698,6/25/24 17:33,1.872,,,,,
699,6/25/24 17:48,1.872,,,,,
700,6/25/24 18:03,1.764,,,,,
701,6/25/24 18:18,1.764,,,,,
702,6/25/24 18:33,1.764,,,,,
703,6/25/24 18:48,1.656,,,,,
704,6/25/24 19:03,1.656,,,,,
705,6/25/24 19:18,1.656,,,,,
706,6/25/24 19:33,1.656,,,,,
707,6/25/24 19:48,1.656,,,,,
708,6/25/24 20:03,1.656,,,,,
709,6/25/24 20:18,1.656,,,,,
710,6/25/24 20:33,1.656,,,,,
711,6/25/24 20:48,1.656,,,,,
712,6/25/24 21:03,1.548,,,,,
713,6/25/24 21:18,1.548,,,,,
714,6/25/24 21:33,1.548,,,,,
715,6/25/24 21:48,1.548,,,,,
716,6/25/24 22:03,1.548,,,,,
717,6/25/24 22:18,1.548,,,,,
718,6/25/24 22:33,1.548,,,,,
719,6/25/24 22:48,1.548,,,,,
720,6/25/24 23:03,1.548,,,,,
721,6/25/24 23:18,1.548,,,,,
722,6/25/24 23:33,1.548,,,,,
723,6/25/24 23:48,1.548,,,,,
724,6/26/24 0:03,1.548,,,,,
725,6/26/24 0:18,1.548,,,,,
726,6/26/24 0:33,1.548,,,,,
727,6/26/24 0:48,1.548,,,,,
728,6/26/24 1:03,1.548,,,,,
729,6/26/24 1:18,1.548,,,,,
730,6/26/24 1:33,1.548,,,,,
731,6/26/24 1:48,1.439,,,,,
732,6/26/24 2:03,1.439,,,,,
733,6/26/24 2:18,1.439,,,,,
734,6/26/24 2:33,1.439,,,,,
735,6/26/24 2:48,1.439,,,,,
736,6/26/24 3:03,1.439,,,,,
737,6/26/24 3:18,1.439,,,,,
738,6/26/24 3:33,1.439,,,,,
739,6/26/24 3:48,1.439,,,,,
740,6/26/24 4:03,1.439,,,,,
741,6/26/24 4:18,1.439,,,,,
742,6/26/24 4:33,1.439,,,,,
743,6/26/24 4:48,1.439,,,,,
744,6/26/24 5:03,1.439,,,,,
745,6/26/24 5:18,1.439,,,,,
746,6/26/24 5:33,1.439,,,,,
747,6/26/24 5:48,1.439,,,,,
748,6/26/24 6:03,1.439,,,,,
749,6/26/24 6:18,1.439,,,,,
750,6/26/24 6:33,1.439,,,,,
751,6/26/24 6:48,1.439,,,,,
752,6/26/24 7:03,1.439,,,,,
753,6/26/24 7:18,1.439,,,,,
754,6/26/24 7:33,1.439,,,,,
755,6/26/24 7:48,1.439,,,,,
758,6/26/24 8:03,1.872,,,,,
759,6/26/24 8:18,1.656,,,,,
760,6/26/24 8:33,1.656,,,,,
761,6/26/24 8:48,1.764,,,,,
762,6/26/24 9:03,1.764,,,,,
763,6/26/24 9:18,1.764,,,,,
764,6/26/24 9:33,1.764,,,,,
765,6/26/24 9:48,1.764,,,,,
766,6/26/24 10:03,1.872,,,,,
767,6/26/24 10:18,1.872,,,,,
768,6/26/24 10:33,1.872,,,,,
769,6/26/24 10:48,1.872,,,,,
770,6/26/24 11:03,1.98,,,,,
771,6/26/24 11:18,1.98,,,,,
772,6/26/24 11:33,1.98,,,,,
773,6/26/24 11:48,1.98,,,,,
774,6/26/24 12:03,1.98,,,,,
775,6/26/24 12:18,1.98,,,,,
776,6/26/24 12:33,2.088,,,,,
777,6/26/24 12:48,2.088,,,,,
778,6/26/24 13:03,2.088,,,,,
779,6/26/24 13:18,2.088,,,,,
780,6/26/24 13:33,2.088,,,,,
781,6/26/24 13:48,2.088,,,,,
782,6/26/24 14:03,2.088,,,,,
783,6/26/24 14:18,2.195,,,,,
784,6/26/24 14:33,2.195,,,,,
785,6/26/24 14:48,2.195,,,,,
786,6/26/24 15:03,2.195,,,,,
787,6/26/24 15:18,2.195,,,,,
788,6/26/24 15:33,2.195,,,,,
789,6/26/24 15:48,2.195,,,,,
790,6/26/24 16:03,2.195,,,,,
791,6/26/24 16:18,2.195,,,,,
792,6/26/24 16:33,2.195,,,,,
793,6/26/24 16:48,2.195,,,,,
794,6/26/24 17:03,2.195,,,,,
795,6/26/24 17:18,2.195,,,,,
796,6/26/24 17:33,2.303,,,,,
797,6/26/24 17:48,2.303,,,,,
798,6/26/24 18:03,2.195,,,,,
799,6/26/24 18:18,2.088,,,,,
800,6/26/24 18:33,2.088,,,,,
801,6/26/24 18:48,1.98,,,,,
802,6/26/24 19:03,1.98,,,,,
803,6/26/24 19:18,1.98,,,,,
804,6/26/24 19:33,1.98,,,,,
805,6/26/24 19:48,1.98,,,,,
806,6/26/24 20:03,1.872,,,,,
807,6/26/24 20:18,1.872,,,,,
808,6/26/24 20:33,1.872,,,,,
809,6/26/24 20:48,1.872,,,,,
810,6/26/24 21:03,1.872,,,,,
811,6/26/24 21:18,1.764,,,,,
812,6/26/24 21:33,1.764,,,,,
813,6/26/24 21:48,1.764,,,,,
814,6/26/24 22:03,1.764,,,,,
815,6/26/24 22:18,1.656,,,,,
816,6/26/24 22:33,1.764,,,,,
817,6/26/24 22:48,1.656,,,,,
818,6/26/24 23:03,1.656,,,,,
819,6/26/24 23:18,1.656,,,,,
820,6/26/24 23:33,1.656,,,,,
821,6/26/24 23:48,1.656,,,,,
822,6/27/24 0:03,1.656,,,,,
823,6/27/24 0:18,1.548,,,,,
824,6/27/24 0:33,1.548,,,,,
825,6/27/24 0:48,1.548,,,,,
826,6/27/24 1:03,1.548,,,,,
827,6/27/24 1:18,1.548,,,,,
828,6/27/24 1:33,1.548,,,,,
829,6/27/24 1:48,1.548,,,,,
830,6/27/24 2:03,1.548,,,,,
831,6/27/24 2:18,1.548,,,,,
832,6/27/24 2:33,1.548,,,,,
833,6/27/24 2:48,1.548,,,,,
834,6/27/24 3:03,1.548,,,,,
835,6/27/24 3:18,1.548,,,,,
836,6/27/24 3:33,1.548,,,,,
837,6/27/24 3:48,1.439,,,,,
838,6/27/24 4:03,1.439,,,,,
839,6/27/24 4:18,1.439,,,,,
840,6/27/24 4:33,1.439,,,,,
841,6/27/24 4:48,1.439,,,,,
842,6/27/24 5:03,1.548,,,,,
843,6/27/24 5:18,1.439,,,,,
844,6/27/24 5:33,1.439,,,,,
845,6/27/24 5:48,1.439,,,,,
846,6/27/24 6:03,1.439,,,,,
847,6/27/24 6:18,1.439,,,,,
848,6/27/24 6:33,1.439,,,,,
849,6/27/24 6:48,1.439,,,,,
850,6/27/24 7:03,1.439,,,,,
851,6/27/24 7:18,1.439,,,,,
852,6/27/24 7:33,1.439,,,,,
853,6/27/24 7:48,1.439,,,,,
854,6/27/24 8:03,1.439,,,,,
855,6/27/24 8:18,1.548,,,,,
856,6/27/24 8:33,1.548,,,,,
857,6/27/24 8:48,1.548,,,,,
858,6/27/24 9:03,1.656,,,,,
859,6/27/24 9:18,1.764,,,,,
860,6/27/24 9:33,1.872,,,,,
861,6/27/24 9:48,1.872,,,,,
862,6/27/24 10:03,1.872,,,,,
863,6/27/24 10:18,1.872,,,,,
864,6/27/24 10:33,1.872,,,,,
865,6/27/24 10:48,1.872,,,,,
866,6/27/24 11:03,1.98,,,,,
867,6/27/24 11:18,1.98,,,,,
868,6/27/24 11:33,1.98,,,,,
869,6/27/24 11:48,1.98,,,,,
870,6/27/24 12:03,1.98,,,,,
871,6/27/24 12:18,1.98,,,,,
872,6/27/24 12:33,1.98,,,,,
873,6/27/24 12:48,2.088,,,,,
874,6/27/24 13:03,2.088,,,,,
875,6/27/24 13:18,2.088,,,,,
876,6/27/24 13:33,2.088,,,,,
877,6/27/24 13:48,2.088,,,,,
878,6/27/24 14:03,2.088,,,,,
879,6/27/24 14:18,2.088,,,,,
880,6/27/24 14:33,2.088,,,,,
881,6/27/24 14:48,2.195,,,,,
882,6/27/24 15:03,2.195,,,,,
883,6/27/24 15:18,2.195,,,,,
884,6/27/24 15:33,2.303,,,,,
885,6/27/24 15:48,2.303,,,,,
886,6/27/24 16:03,2.303,,,,,
887,6/27/24 16:18,2.303,,,,,
888,6/27/24 16:33,2.41,,,,,
889,6/27/24 16:48,2.41,,,,,
890,6/27/24 17:03,2.41,,,,,
891,6/27/24 17:18,2.41,,,,,
892,6/27/24 17:33,2.41,,,,,
893,6/27/24 17:48,2.41,,,,,
894,6/27/24 18:03,2.303,,,,,
895,6/27/24 18:18,2.195,,,,,
896,6/27/24 18:33,2.195,,,,,
897,6/27/24 18:48,2.195,,,,,
898,6/27/24 19:03,2.088,,,,,
899,6/27/24 19:18,2.088,,,,,
900,6/27/24 19:33,2.088,,,,,
901,6/27/24 19:48,2.088,,,,,
902,6/27/24 20:03,2.088,,,,,
903,6/27/24 20:18,1.98,,,,,
904,6/27/24 20:33,1.98,,,,,
905,6/27/24 20:48,1.98,,,,,
906,6/27/24 21:03,1.98,,,,,
907,6/27/24 21:18,1.98,,,,,
908,6/27/24 21:33,1.98,,,,,
909,6/27/24 21:48,1.872,,,,,
910,6/27/24 22:03,1.872,,,,,
911,6/27/24 22:18,1.872,,,,,
912,6/27/24 22:33,1.872,,,,,
913,6/27/24 22:48,1.872,,,,,
914,6/27/24 23:03,1.872,,,,,
915,6/27/24 23:18,1.872,,,,,
916,6/27/24 23:33,1.872,,,,,
917,6/27/24 23:48,1.872,,,,,
918,6/28/24 0:03,1.764,,,,,
919,6/28/24 0:18,1.764,,,,,
920,6/28/24 0:33,1.764,,,,,
921,6/28/24 0:48,1.764,,,,,
922,6/28/24 1:03,1.764,,,,,
923,6/28/24 1:18,1.764,,,,,
