Plot Title: T3B,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 21435416, SEN S/N: 21435416)",Coupler Detached (LGR S/N: 21435416),Coupler Attached (LGR S/N: 21435416),Host Connected (LGR S/N: 21435416),Stopped (LGR S/N: 21435416),End Of File (LGR S/N: 21435416)
530,6/24/24 0:05,14.709,,,,,
531,6/24/24 0:20,14.709,,,,,
532,6/24/24 0:35,14.709,,,,,
533,6/24/24 0:50,14.709,,,,,
534,6/24/24 1:05,14.709,,,,,
535,6/24/24 1:20,14.709,,,,,
536,6/24/24 1:35,14.709,,,,,
537,6/24/24 1:50,14.709,,,,,
538,6/24/24 2:05,14.709,,,,,
539,6/24/24 2:20,14.709,,,,,
540,6/24/24 2:35,14.613,,,,,
541,6/24/24 2:50,14.709,,,,,
542,6/24/24 3:05,14.613,,,,,
543,6/24/24 3:20,14.613,,,,,
544,6/24/24 3:35,14.613,,,,,
545,6/24/24 3:50,14.613,,,,,
546,6/24/24 4:05,14.613,,,,,
547,6/24/24 4:20,14.613,,,,,
548,6/24/24 4:35,14.613,,,,,
549,6/24/24 4:50,14.613,,,,,
550,6/24/24 5:05,14.613,,,,,
551,6/24/24 5:20,14.613,,,,,
552,6/24/24 5:35,14.613,,,,,
553,6/24/24 5:50,14.613,,,,,
554,6/24/24 6:05,14.613,,,,,
555,6/24/24 6:20,14.613,,,,,
556,6/24/24 6:35,14.613,,,,,
557,6/24/24 6:50,14.613,,,,,
558,6/24/24 7:05,14.613,,,,,
559,6/24/24 7:20,14.613,,,,,
560,6/24/24 7:35,14.613,,,,,
561,6/24/24 7:50,14.613,,,,,
562,6/24/24 8:05,14.613,,,,,
563,6/24/24 8:20,14.613,,,,,
564,6/24/24 8:35,14.613,,,,,
565,6/24/24 8:50,14.613,,,,,
566,6/24/24 9:05,14.613,,,,,
567,6/24/24 9:20,14.613,,,,,
568,6/24/24 9:35,14.613,,,,,
569,6/24/24 9:50,14.613,,,,,
570,6/24/24 10:05,14.709,,,,,
571,6/24/24 10:20,14.804,,,,,
572,6/24/24 10:35,14.804,,,,,
573,6/24/24 10:50,14.804,,,,,
574,6/24/24 11:05,14.709,,,,,
575,6/24/24 11:20,14.709,,,,,
576,6/24/24 11:35,14.709,,,,,
577,6/24/24 11:50,14.709,,,,,
578,6/24/24 12:05,14.709,,,,,
579,6/24/24 12:20,14.709,,,,,
580,6/24/24 12:35,14.517,,,,,
581,6/24/24 12:50,14.23,,,,,
582,6/24/24 13:05,13.75,,,,,
583,6/24/24 13:20,13.269,,,,,
584,6/24/24 13:35,12.69,,,,,
