Plot Title: T6A,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 21435414, SEN S/N: 21435414)",Coupler Detached (LGR S/N: 21435414),Coupler Attached (LGR S/N: 21435414),Host Connected (LGR S/N: 21435414),Stopped (LGR S/N: 21435414),End Of File (LGR S/N: 21435414)
1863,6/24/24 0:07,15.187,,,,,
1864,6/24/24 0:22,15.187,,,,,
1865,6/24/24 0:37,15.187,,,,,
1866,6/24/24 0:52,15.091,,,,,
1867,6/24/24 1:07,15.091,,,,,
1868,6/24/24 1:22,15.091,,,,,
1869,6/24/24 1:37,15.091,,,,,
1870,6/24/24 1:52,15.091,,,,,
1871,6/24/24 2:07,15.091,,,,,
1872,6/24/24 2:22,15.091,,,,,
1873,6/24/24 2:37,14.996,,,,,
1874,6/24/24 2:52,14.996,,,,,
1875,6/24/24 3:07,14.996,,,,,
1876,6/24/24 3:22,14.996,,,,,
1877,6/24/24 3:37,14.996,,,,,
1878,6/24/24 3:52,14.996,,,,,
1879,6/24/24 4:07,14.996,,,,,
1880,6/24/24 4:22,14.996,,,,,
1881,6/24/24 4:37,14.996,,,,,
1882,6/24/24 4:52,14.996,,,,,
1883,6/24/24 5:07,14.996,,,,,
1884,6/24/24 5:22,14.996,,,,,
1885,6/24/24 5:37,14.996,,,,,
1886,6/24/24 5:52,14.9,,,,,
1887,6/24/24 6:07,14.9,,,,,
1888,6/24/24 6:22,14.9,,,,,
1889,6/24/24 6:37,14.9,,,,,
1890,6/24/24 6:52,14.9,,,,,
1891,6/24/24 7:07,14.9,,,,,
1892,6/24/24 7:22,14.996,,,,,
1893,6/24/24 7:37,14.996,,,,,
1894,6/24/24 7:52,15.091,,,,,
1895,6/24/24 8:07,15.091,,,,,
1896,6/24/24 8:22,15.091,,,,,
1897,6/24/24 8:37,15.187,,,,,
1898,6/24/24 8:52,15.187,,,,,
1899,6/24/24 9:07,15.282,,,,,
1900,6/24/24 9:22,15.378,,,,,
1901,6/24/24 9:37,15.378,,,,,
1902,6/24/24 9:52,15.473,,,,,
1903,6/24/24 10:07,15.473,,,,,
1904,6/24/24 10:22,15.473,,,,,
1905,6/24/24 10:37,15.569,,,,,
1906,6/24/24 10:52,15.664,,,,,
1907,6/24/24 11:07,15.76,,,,,
1908,6/24/24 11:22,15.76,,,,,
1909,6/24/24 11:37,15.855,,,,,
1910,6/24/24 11:52,15.951,,,,,
1911,6/24/24 12:07,15.951,,,,,
1912,6/24/24 12:22,15.951,,,,,
1913,6/24/24 12:37,15.664,,,,,
1914,6/24/24 12:52,15.378,,,,,
1915,6/24/24 13:07,15.187,,,,,
1916,6/24/24 13:22,14.9,,,,,
1917,6/24/24 13:37,14.517,,,,,
1918,6/24/24 13:52,14.23,,,,,
1919,6/24/24 14:07,13.846,,,,,
1920,6/24/24 14:22,13.558,,,,,
1921,6/24/24 14:37,13.269,,,,,
1922,6/24/24 14:52,12.883,,,,,
1923,6/24/24 15:07,12.497,,,,,
1924,6/24/24 15:22,12.013,,,,,
1925,6/24/24 15:37,11.528,,,,,
1926,6/24/24 15:52,11.139,,,,,
1927,6/24/24 16:07,10.944,,,,,
1928,6/24/24 16:22,10.748,,,,,
1929,6/24/24 16:37,10.553,,,,,
1930,6/24/24 16:52,10.259,,,,,
1931,6/24/24 17:07,10.063,,,,,
1932,6/24/24 17:22,9.768,,,,,
1933,6/24/24 17:37,9.571,,,,,
1934,6/24/24 17:52,9.275,,,,,
1935,6/24/24 18:07,8.978,,,,,
1936,6/24/24 18:22,8.779,,,,,
1937,6/24/24 18:37,8.581,,,,,
1938,6/24/24 18:52,8.282,,,,,
1939,6/24/24 19:07,7.983,,,,,
1940,6/24/24 19:22,7.782,,,,,
1941,6/24/24 19:37,7.481,,,,,
1942,6/24/24 19:52,7.28,,,,,
1943,6/24/24 20:07,6.978,,,,,
1944,6/24/24 20:22,6.775,,,,,
1945,6/24/24 20:37,6.573,,,,,
1946,6/24/24 20:52,6.37,,,,,
1947,6/24/24 21:07,6.166,,,,,
1948,6/24/24 21:22,5.962,,,,,
1949,6/24/24 21:37,5.757,,,,,
1950,6/24/24 21:52,5.655,,,,,
1951,6/24/24 22:07,5.45,,,,,
1952,6/24/24 22:22,5.244,,,,,
1953,6/24/24 22:37,5.141,,,,,
1954,6/24/24 22:52,4.934,,,,,
1955,6/24/24 23:07,5.347,,,,,
1956,6/24/24 23:22,5.141,,,,,
1957,6/24/24 23:37,4.934,,,,,
1958,6/24/24 23:52,5.244,,,,,
1959,6/25/24 0:07,5.141,,,,,
1960,6/25/24 0:22,5.037,,,,,
1961,6/25/24 0:37,5.347,,,,,
1962,6/25/24 0:52,5.141,,,,,
1963,6/25/24 1:07,5.037,,,,,
1964,6/25/24 1:22,5.347,,,,,
1965,6/25/24 1:37,5.244,,,,,
1966,6/25/24 1:52,5.141,,,,,
1967,6/25/24 2:07,5.45,,,,,
1968,6/25/24 2:22,5.244,,,,,
1969,6/25/24 2:37,5.141,,,,,
1970,6/25/24 2:52,5.45,,,,,
1971,6/25/24 3:07,5.244,,,,,
1972,6/25/24 3:22,5.141,,,,,
1973,6/25/24 3:37,5.347,,,,,
1974,6/25/24 3:52,5.244,,,,,
1975,6/25/24 4:07,5.141,,,,,
1976,6/25/24 4:22,5.347,,,,,
1977,6/25/24 4:37,5.347,,,,,
1978,6/25/24 4:52,5.141,,,,,
1979,6/25/24 5:07,5.141,,,,,
1980,6/25/24 5:22,5.347,,,,,
1981,6/25/24 5:37,5.141,,,,,
1982,6/25/24 5:52,5.037,,,,,
1983,6/25/24 6:07,5.347,,,,,
1984,6/25/24 6:22,5.244,,,,,
1985,6/25/24 6:37,5.037,,,,,
1986,6/25/24 6:52,5.45,,,,,
1987,6/25/24 7:07,5.244,,,,,
1988,6/25/24 7:22,5.141,,,,,
1989,6/25/24 7:37,5.347,,,,,
1990,6/25/24 7:52,5.347,,,,,
1991,6/25/24 8:07,5.244,,,,,
1995,6/25/24 8:37,5.552,,,,,
1996,6/25/24 8:52,5.45,,,,,
1997,6/25/24 9:07,5.552,,,,,
1998,6/25/24 9:22,5.655,,,,,
1999,6/25/24 9:37,5.655,,,,,
2000,6/25/24 9:52,5.552,,,,,
2001,6/25/24 10:07,5.45,,,,,
2002,6/25/24 10:22,5.45,,,,,
2003,6/25/24 10:37,5.347,,,,,
2004,6/25/24 10:52,5.757,,,,,
2005,6/25/24 11:07,5.552,,,,,
2006,6/25/24 11:22,5.45,,,,,
2007,6/25/24 11:37,5.347,,,,,
2008,6/25/24 11:52,5.141,,,,,
2009,6/25/24 12:07,5.552,,,,,
2010,6/25/24 12:22,5.45,,,,,
2011,6/25/24 12:37,5.347,,,,,
2012,6/25/24 12:52,5.244,,,,,
2013,6/25/24 13:07,5.347,,,,,
2014,6/25/24 13:22,5.45,,,,,
2015,6/25/24 13:37,5.347,,,,,
2016,6/25/24 13:52,5.347,,,,,
2017,6/25/24 14:07,5.347,,,,,
2018,6/25/24 14:22,5.347,,,,,
2019,6/25/24 14:37,5.244,,,,,
2020,6/25/24 14:52,5.244,,,,,
2021,6/25/24 15:07,5.552,,,,,
2022,6/25/24 15:22,5.45,,,,,
2023,6/25/24 15:37,5.347,,,,,
2024,6/25/24 15:52,5.347,,,,,
2025,6/25/24 16:07,5.347,,,,,
2026,6/25/24 16:22,5.552,,,,,
2027,6/25/24 16:37,5.655,,,,,
2028,6/25/24 16:52,5.552,,,,,
2029,6/25/24 17:07,5.655,,,,,
2030,6/25/24 17:22,5.552,,,,,
2031,6/25/24 17:37,5.45,,,,,
2032,6/25/24 17:52,5.347,,,,,
2033,6/25/24 18:07,5.244,,,,,
2034,6/25/24 18:22,5.552,,,,,
2035,6/25/24 18:37,5.347,,,,,
2036,6/25/24 18:52,5.244,,,,,
2037,6/25/24 19:07,5.552,,,,,
2038,6/25/24 19:22,5.347,,,,,
2039,6/25/24 19:37,5.244,,,,,
2040,6/25/24 19:52,5.552,,,,,
2041,6/25/24 20:07,5.45,,,,,
2042,6/25/24 20:22,5.244,,,,,
2043,6/25/24 20:37,5.552,,,,,
2044,6/25/24 20:52,5.45,,,,,
2045,6/25/24 21:07,5.244,,,,,
2046,6/25/24 21:22,5.552,,,,,
2047,6/25/24 21:37,5.45,,,,,
2048,6/25/24 21:52,5.347,,,,,
2049,6/25/24 22:07,5.141,,,,,
2050,6/25/24 22:22,5.552,,,,,
2051,6/25/24 22:37,5.347,,,,,
2052,6/25/24 22:52,5.244,,,,,
2053,6/25/24 23:07,5.552,,,,,
2054,6/25/24 23:22,5.45,,,,,
2055,6/25/24 23:37,5.244,,,,,
2056,6/25/24 23:52,5.552,,,,,
2057,6/26/24 0:07,5.45,,,,,
2058,6/26/24 0:22,5.347,,,,,
2059,6/26/24 0:37,5.45,,,,,
2060,6/26/24 0:52,5.45,,,,,
2061,6/26/24 1:07,5.347,,,,,
2062,6/26/24 1:22,5.244,,,,,
2063,6/26/24 1:37,5.552,,,,,
2064,6/26/24 1:52,5.347,,,,,
2065,6/26/24 2:07,5.244,,,,,
2066,6/26/24 2:22,5.552,,,,,
2067,6/26/24 2:37,5.45,,,,,
2068,6/26/24 2:52,5.347,,,,,
2069,6/26/24 3:07,5.347,,,,,
2070,6/26/24 3:22,5.552,,,,,
2071,6/26/24 3:37,5.347,,,,,
2072,6/26/24 3:52,5.244,,,,,
2073,6/26/24 4:07,5.552,,,,,
2074,6/26/24 4:22,5.45,,,,,
2075,6/26/24 4:37,5.347,,,,,
2076,6/26/24 4:52,5.45,,,,,
2077,6/26/24 5:07,5.552,,,,,
2078,6/26/24 5:22,5.45,,,,,
2079,6/26/24 5:37,5.244,,,,,
2080,6/26/24 5:52,5.655,,,,,
2081,6/26/24 6:07,5.45,,,,,
2082,6/26/24 6:22,5.347,,,,,
2083,6/26/24 6:37,5.244,,,,,
2084,6/26/24 6:52,5.552,,,,,
2085,6/26/24 7:07,5.45,,,,,
2086,6/26/24 7:22,5.347,,,,,
2087,6/26/24 7:37,5.552,,,,,
2088,6/26/24 7:52,5.655,,,,,
2092,6/26/24 8:22,5.347,,,,,
2093,6/26/24 8:37,5.45,,,,,
2094,6/26/24 8:52,5.45,,,,,
2095,6/26/24 9:07,5.45,,,,,
2096,6/26/24 9:22,5.244,,,,,
2097,6/26/24 9:37,5.244,,,,,
2098,6/26/24 9:52,5.141,,,,,
2099,6/26/24 10:07,5.141,,,,,
2100,6/26/24 10:22,5.037,,,,,
2101,6/26/24 10:37,5.244,,,,,
2102,6/26/24 10:52,5.244,,,,,
2103,6/26/24 11:07,5.347,,,,,
2104,6/26/24 11:22,5.347,,,,,
2105,6/26/24 11:37,5.347,,,,,
2106,6/26/24 11:52,5.347,,,,,
2107,6/26/24 12:07,5.347,,,,,
2108,6/26/24 12:22,5.347,,,,,
2109,6/26/24 12:37,5.347,,,,,
2110,6/26/24 12:52,5.45,,,,,
2111,6/26/24 13:07,5.45,,,,,
2112,6/26/24 13:22,5.45,,,,,
2113,6/26/24 13:37,5.45,,,,,
2114,6/26/24 13:52,5.45,,,,,
2115,6/26/24 14:07,5.552,,,,,
2116,6/26/24 14:22,5.552,,,,,
2117,6/26/24 14:37,5.552,,,,,
2118,6/26/24 14:52,5.552,,,,,
2119,6/26/24 15:07,5.552,,,,,
2120,6/26/24 15:22,5.655,,,,,
2121,6/26/24 15:37,5.655,,,,,
2122,6/26/24 15:52,5.655,,,,,
2123,6/26/24 16:07,5.655,,,,,
2124,6/26/24 16:22,5.655,,,,,
2125,6/26/24 16:37,5.757,,,,,
2126,6/26/24 16:52,5.757,,,,,
2127,6/26/24 17:07,5.757,,,,,
2128,6/26/24 17:22,5.757,,,,,
2129,6/26/24 17:37,5.757,,,,,
2130,6/26/24 17:52,5.757,,,,,
2131,6/26/24 18:07,5.655,,,,,
2132,6/26/24 18:22,5.552,,,,,
2133,6/26/24 18:37,5.552,,,,,
2134,6/26/24 18:52,5.347,,,,,
2135,6/26/24 19:07,5.347,,,,,
2136,6/26/24 19:22,5.244,,,,,
2137,6/26/24 19:37,5.141,,,,,
2138,6/26/24 19:52,5.037,,,,,
2139,6/26/24 20:07,5.347,,,,,
2140,6/26/24 20:22,5.347,,,,,
2141,6/26/24 20:37,5.244,,,,,
2142,6/26/24 20:52,5.037,,,,,
2143,6/26/24 21:07,5.037,,,,,
2144,6/26/24 21:22,5.244,,,,,
2145,6/26/24 21:37,5.347,,,,,
2146,6/26/24 21:52,5.244,,,,,
2147,6/26/24 22:07,5.141,,,,,
2148,6/26/24 22:22,4.934,,,,,
2149,6/26/24 22:37,5.244,,,,,
2150,6/26/24 22:52,5.347,,,,,
2151,6/26/24 23:07,5.244,,,,,
2152,6/26/24 23:22,5.141,,,,,
2153,6/26/24 23:37,5.037,,,,,
2154,6/26/24 23:52,5.244,,,,,
2155,6/27/24 0:07,5.347,,,,,
2156,6/27/24 0:22,5.244,,,,,
2157,6/27/24 0:37,5.141,,,,,
2158,6/27/24 0:52,4.934,,,,,
2159,6/27/24 1:07,5.347,,,,,
2160,6/27/24 1:22,5.347,,,,,
2161,6/27/24 1:37,5.244,,,,,
2162,6/27/24 1:52,5.141,,,,,
2163,6/27/24 2:07,5.037,,,,,
2164,6/27/24 2:22,5.244,,,,,
2165,6/27/24 2:37,5.347,,,,,
2166,6/27/24 2:52,5.244,,,,,
2167,6/27/24 3:07,5.141,,,,,
2168,6/27/24 3:22,4.934,,,,,
2169,6/27/24 3:37,5.347,,,,,
2170,6/27/24 3:52,5.347,,,,,
2171,6/27/24 4:07,5.244,,,,,
2172,6/27/24 4:22,5.037,,,,,
2173,6/27/24 4:37,4.934,,,,,
2174,6/27/24 4:52,5.45,,,,,
2175,6/27/24 5:07,5.347,,,,,
2176,6/27/24 5:22,5.244,,,,,
2177,6/27/24 5:37,5.037,,,,,
2178,6/27/24 5:52,4.934,,,,,
2179,6/27/24 6:07,5.45,,,,,
2180,6/27/24 6:22,5.347,,,,,
2181,6/27/24 6:37,5.244,,,,,
2182,6/27/24 6:52,5.037,,,,,
2183,6/27/24 7:07,4.934,,,,,
2184,6/27/24 7:22,5.45,,,,,
2185,6/27/24 7:37,5.347,,,,,
2186,6/27/24 7:52,5.141,,,,,
2187,6/27/24 8:07,5.141,,,,,
2188,6/27/24 8:22,5.141,,,,,
2189,6/27/24 8:37,5.141,,,,,
2190,6/27/24 8:52,5.141,,,,,
2191,6/27/24 9:07,5.141,,,,,
2192,6/27/24 9:22,5.141,,,,,
2193,6/27/24 9:37,5.244,,,,,
2194,6/27/24 9:52,5.244,,,,,
2195,6/27/24 10:07,5.244,,,,,
2196,6/27/24 10:22,5.244,,,,,
2197,6/27/24 10:37,5.244,,,,,
2198,6/27/24 10:52,5.244,,,,,
2199,6/27/24 11:07,5.244,,,,,
2200,6/27/24 11:22,5.244,,,,,
2201,6/27/24 11:37,5.244,,,,,
2202,6/27/24 11:52,5.347,,,,,
2203,6/27/24 12:07,5.347,,,,,
2204,6/27/24 12:22,5.347,,,,,
2205,6/27/24 12:37,5.347,,,,,
2206,6/27/24 12:52,5.347,,,,,
2207,6/27/24 13:07,5.347,,,,,
2208,6/27/24 13:22,5.347,,,,,
2209,6/27/24 13:37,5.45,,,,,
2210,6/27/24 13:52,5.45,,,,,
2211,6/27/24 14:07,5.45,,,,,
2212,6/27/24 14:22,5.45,,,,,
2213,6/27/24 14:37,5.45,,,,,
