ID,population,tank,number,sex,integument-color,carapace-width,carapace-length,weight,leg?,dead-date,notes
MA-1,MA,T01,1,M,Y,44,33,16.9,X,D-6/24/24,missing R5
MA-2,MA,T01,2,M,Y,55,43,31.4,X,6/7/24,
MA-3,MA,T01,3,F,YO,45,34,18,X,,
MA-4,MA,T01,4,F,YO,40,30,12.6,X,6/7/24,
MA-5,MA,T01,5,M,YO,54,40,32.5,X,D-6/25/24,cut second instead of third
MA-6,MA,T01,6,F,G,46,35,18.5,X,,
MA-7,MA,T01,7,M,Y,47,35,21.4,X,6/7/24,"missing R5, carapace injury"
MA-8,MA,T01,8,M,Y,41,30,14,X,6/26/24,missing crab 6/26/24
MA-9,MA,T01,9,M,YG,45,34,18.7,X,6/7/24,"missing L4, carapace injury"
MA-10,MA,T01,10,M,YG,63,47,54.5,X,,
MA-11,MA,T01,11,F,G,41,31,13.5,X,6/23/24,
MA-12,MA,T01,12,F,YG,44,36,19,X,6/12/24,
MA-13,MA,T01,13,M,Y,61,46,48.1,X,6/23/24,
MA-14,MA,T01,14,M,YO,46,35,20.9,X,6/24/24,"started molting 6/22, moved to T4. moved back to T1 on 6/24/24 where it was immediately eaten "
MA-15,MA,T01,15,M,G,48,37,23.8,X,6/11/24,left side carapace injury
MA-16,MA,T01,16,M,O,40,32,13.7,X,,missing R4
MA-17,MA,T01,17,F,Y,44,34,18.4,X,,eel pond
MA-18,MA,T01,18,F,YG,50,39,26.2,X,D-6/26/24,eel pond
MA-55,MA,T01,55,F,Y,60,46,45.1,X,D-6/24/24,"eel pond, missing R3"
MA-56,MA,T01,56,M,Y,47,35,22.1,X,D-6/25/24,eel pond
MA-57,MA,T01,57,M,YG,39,30,11.4,X,,"eel pond, missing R1"
MA-58,MA,T01,58,M,YG,38,30,11.9,X,,eel pond
MA-19,MA,T02,19,M,YO,48,36,23.2,X,D-6/24/24,missing R5
MA-20,MA,T02,20,F,Y,41,29,12.6,X,6/7/24,missing R5
MA-21,MA,T02,21,M,Y,40,30,12.3,X,,
MA-22,MA,T02,22,M,YG,49,37,22.7,X,6/7/24,
MA-23,MA,T02,23,F,O,46,35,21.4,X,6/7/24,
MA-24,MA,T02,24,M,Y,54,40,33.4,X,6/10/24,
MA-25,MA,T02,25,F,YO,38,29,12.2,X,,
MA-26,MA,T02,26,M,Y,58,43,36.5,X,6/10/24,
MA-27,MA,T02,27,M,YG,51,39,27.5,X,D-6/26/24,
MA-28,MA,T02,28,F,YO,49,38,24.6,X,,
MA-29,MA,T02,29,F,O,47,36,20.8,X,D-6/25/24,
MA-30,MA,T02,30,M,Y,64,51,64.9,X,,
MA-31,MA,T02,31,M,YO,43,34,18.8,X,D-6/25/24,
MA-32,MA,T02,32,M,Y,51,39,29.5,X,D-6/25/24,Left side carapace injury
MA-33,MA,T02,33,M,YG,46,36,20.5,X,6/16/24,R claw missing
MA-34,MA,T02,34,M,YG,42,33,16.8,X,D-6/25/24,
MA-35,MA,T02,35,F,YG,45,35,20.3,X,???,eel pond
MA-36,MA,T02,36,F,Y,36,27,9.8,X,D-6/26/24,eel pond
MA-59,MA,T02,59,M,Y,61,46,45.3,X,,eel pond
MA-60,MA,T02,60,M,Y,45,34,19.4,X,,eel pond
MA-61,MA,T02,61,M,G,45,30,13.5,X,D-6/24/24,eel pond
MA-37,MA,T03,37,M,YG,59,45,43.4,X,6/7/24,
MA-38,MA,T03,38,M,YG,44,33,17.1,X,D-6/25/24,
MA-39,MA,T03,39,F,YO,36,27,9,X,6/7/24,
MA-40,MA,T03,40,M,G,46,35,16,X,,"missing R1, L1, carapace injury"
MA-41,MA,T03,41,M,YG,43,32,16.1,X,,
MA-42,MA,T03,42,M,Y,56,44,36.9,X,6/7/24,"missing R1, R2, carapace injury "
MA-43,MA,T03,43,M,YO,41,32,15.2,X,6/10/24,
MA-44,MA,T03,44,F,YO,37,29,10.8,X,,
MA-45,MA,T03,45,F,G,39,30,12.3,X,,
MA-46,MA,T03,46,F,YO,52,40,28.9,X,6/12/24,injury to the right side of the carapace
MA-47,MA,T03,47,F,G,50,38,24.9,X,D-6/25/24,
MA-48,MA,T03,48,M,YG,49,36,24.6,X,D-6/24/24,
MA-49,MA,T03,49,M,Y,43,32,16.5,X,D-6/26/24,
MA-50,MA,T03,50,M,Y,48,36,24.6,X,D-6/25/24,
MA-51,MA,T03,51,M,YG,47,34,19.5,X,D-6/25/24,
MA-52,MA,T03,52,M,Y,66,47,54.6,X,,
MA-53,MA,T03,53,F,G,43,33,17.5,X,D-6/24/24,eel pond
MA-54,MA,T03,54,F,YG,43,34,15.4,X,,eel pond
MA-62,MA,T03,62,F,Y,40,31,14.5,X,D-6/26/24,eel pond
MA-63,MA,T03,63,,,,,,,,eel pond
MA-64,MA,T04,64,,,,,,,,
MA-65,MA,T04,65,,,,,,,,
MA-66,MA,T04,66,,,,,,,,
MA-67,MA,T04,67,,,,,,,,
MA-68,MA,T04,68,,,,,,,,
MA-69,MA,T04,69,,,,,,,,
MA-70,MA,T04,70,,,,,,,,
MA-71,MA,T04,71,,,,,,,,
MA-72,MA,T04,72,,,,,,,,
MA-73,MA,T05,73,F,O,46,35,19.3,X,6/7/24,missing R3
MA-74,MA,T05,74,M,YO,38,29,11.2,X,D-6/24/24,missing L4
MA-75,MA,T05,75,M,YO,53,40,30.9,X,D-6/25/24,
MA-76,MA,T05,76,M,G,43,32,16.5,X,,
MA-77,MA,T05,77,M,YO,52,38,30.3,X,6/14/24,
MA-78,MA,T05,78,F,YO,45,33,17.9,X,6/10/24,
MA-79,MA,T05,79,F,O,38,29,11.4,X,D-6/26/24,"missing L2, L3"
MA-80,MA,T05,80,M,YO,49,36,22.5,X,D-6/25/24,missing L1
MA-81,MA,T05,81,M,YO,68,49,71.5,X,,
MA-82,MA,T05,82,F,O,48,37,22,X,,
MA-83,MA,T05,83,F,Y,39,30,11.4,X,D-6/25/24,Right claw Missing
MA-84,MA,T05,84,M,Y,63,47,62,X,D-6/26/24,
MA-85,MA,T05,85,M,Y,39,30,11.2,X,D-6/25/24,R. Claw Missing
MA-86,MA,T05,86,F,YG,48,38,22.5,X,,eel pond
MA-87,MA,T05,87,F,YG,36,28,10.4,X,,eel pond
MA-88,MA,T05,88,F,Y,39,31,13.7,X,,eel pond
MA-89,MA,T05,89,M,G,41,31,14.3,X,,eel pond
MA-90,MA,T05,90,M,YG,57,44,42.4,X,D-6/24/24,eel pond
MA-127,MA,T05,127,M,Y,42,33,17,X,6/21/24,eel pond
MA-91,MA,T06,91,M,YG,50,37,26.3,X,D-6/24/24,carapace injury
MA-92,MA,T06,92,F,YG,39,30,11.4,X,,
MA-93,MA,T06,93,M,YG,62,46,48.7,X,6/7/24,
