Plot Title: T1B-2,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20239627, SEN S/N: 20239627)",Coupler Detached (LGR S/N: 20239627),Coupler Attached (LGR S/N: 20239627),Host Connected (LGR S/N: 20239627),Stopped (LGR S/N: 20239627),End Of File (LGR S/N: 20239627)
3,7/24/24 11:44,2.195,,,,,
4,7/24/24 11:59,2.088,,,,,
5,7/24/24 12:14,2.088,,,,,
6,7/24/24 12:29,2.088,,,,,
7,7/24/24 12:44,2.088,,,,,
8,7/24/24 12:59,2.088,,,,,
9,7/24/24 13:14,2.195,,,,,
10,7/24/24 13:29,2.195,,,,,
11,7/24/24 13:44,2.195,,,,,
12,7/24/24 13:59,2.195,,,,,
13,7/24/24 14:14,2.195,,,,,
14,7/24/24 14:29,2.195,,,,,
15,7/24/24 14:44,2.195,,,,,
16,7/24/24 14:59,2.195,,,,,
17,7/24/24 15:14,2.195,,,,,
18,7/24/24 15:29,2.195,,,,,
19,7/24/24 15:44,2.303,,,,,
20,7/24/24 15:59,2.303,,,,,
21,7/24/24 16:14,2.303,,,,,
22,7/24/24 16:29,2.303,,,,,
23,7/24/24 16:44,2.303,,,,,
24,7/24/24 16:59,2.303,,,,,
25,7/24/24 17:14,2.303,,,,,
26,7/24/24 17:29,2.303,,,,,
27,7/24/24 17:44,2.303,,,,,
28,7/24/24 17:59,2.303,,,,,
29,7/24/24 18:14,2.303,,,,,
30,7/24/24 18:29,2.303,,,,,
31,7/24/24 18:44,2.195,,,,,
32,7/24/24 18:59,2.195,,,,,
33,7/24/24 19:14,2.195,,,,,
34,7/24/24 19:29,2.088,,,,,
35,7/24/24 19:44,2.088,,,,,
36,7/24/24 19:59,2.088,,,,,
37,7/24/24 20:14,2.088,,,,,
38,7/24/24 20:29,1.98,,,,,
39,7/24/24 20:44,1.98,,,,,
40,7/24/24 20:59,1.98,,,,,
41,7/24/24 21:14,1.98,,,,,
42,7/24/24 21:29,1.98,,,,,
43,7/24/24 21:44,1.98,,,,,
44,7/24/24 21:59,1.872,,,,,
45,7/24/24 22:14,1.872,,,,,
46,7/24/24 22:29,1.872,,,,,
47,7/24/24 22:44,1.872,,,,,
48,7/24/24 22:59,1.872,,,,,
49,7/24/24 23:14,1.872,,,,,
50,7/24/24 23:29,1.872,,,,,
51,7/24/24 23:44,1.764,,,,,
52,7/24/24 23:59,1.764,,,,,
53,7/25/24 0:14,1.764,,,,,
54,7/25/24 0:29,1.764,,,,,
