Plot Title: T3B,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 21435416, SEN S/N: 21435416)",Coupler Detached (LGR S/N: 21435416),Coupler Attached (LGR S/N: 21435416),Host Connected (LGR S/N: 21435416),Stopped (LGR S/N: 21435416),End Of File (LGR S/N: 21435416)
2241,7/22/24 0:02,14.804,,,,,
2242,7/22/24 0:17,14.804,,,,,
2243,7/22/24 0:32,14.804,,,,,
2244,7/22/24 0:47,14.804,,,,,
2245,7/22/24 1:02,14.709,,,,,
2246,7/22/24 1:17,14.709,,,,,
2247,7/22/24 1:32,14.709,,,,,
2248,7/22/24 1:47,14.709,,,,,
2249,7/22/24 2:02,14.709,,,,,
2250,7/22/24 2:17,14.709,,,,,
2251,7/22/24 2:32,14.709,,,,,
2252,7/22/24 2:47,14.613,,,,,
2253,7/22/24 3:02,14.709,,,,,
2254,7/22/24 3:17,14.613,,,,,
2255,7/22/24 3:32,14.613,,,,,
2256,7/22/24 3:47,14.613,,,,,
2257,7/22/24 4:02,14.613,,,,,
2258,7/22/24 4:17,14.613,,,,,
2259,7/22/24 4:32,14.613,,,,,
2260,7/22/24 4:47,14.613,,,,,
2261,7/22/24 5:02,14.613,,,,,
2262,7/22/24 5:17,14.613,,,,,
2263,7/22/24 5:32,14.613,,,,,
2264,7/22/24 5:47,14.613,,,,,
2265,7/22/24 6:02,14.613,,,,,
2266,7/22/24 6:17,14.613,,,,,
2267,7/22/24 6:32,14.613,,,,,
2268,7/22/24 6:47,14.613,,,,,
2269,7/22/24 7:02,14.613,,,,,
2270,7/22/24 7:17,14.613,,,,,
2271,7/22/24 7:32,14.613,,,,,
2272,7/22/24 7:47,14.709,,,,,
2273,7/22/24 8:02,14.709,,,,,
2274,7/22/24 8:17,14.709,,,,,
2275,7/22/24 8:32,14.804,,,,,
2276,7/22/24 8:47,14.804,,,,,
2277,7/22/24 9:02,14.804,,,,,
2278,7/22/24 9:17,14.804,,,,,
2279,7/22/24 9:32,14.9,,,,,
2280,7/22/24 9:47,14.9,,,,,
2281,7/22/24 10:02,14.9,,,,,
2282,7/22/24 10:17,14.996,,,,,
2283,7/22/24 10:32,14.996,,,,,
2284,7/22/24 10:47,14.996,,,,,
2285,7/22/24 11:02,14.996,,,,,
2286,7/22/24 11:17,14.996,,,,,
2287,7/22/24 11:32,14.996,,,,,
2288,7/22/24 11:47,14.996,,,,,
2289,7/22/24 12:02,14.996,,,,,
2290,7/22/24 12:17,14.996,,,,,
2291,7/22/24 12:32,14.996,,,,,
2292,7/22/24 12:47,14.996,,,,,
2293,7/22/24 13:02,15.091,,,,,
2294,7/22/24 13:17,15.091,,,,,
2295,7/22/24 13:32,15.091,,,,,
2296,7/22/24 13:47,15.091,,,,,
2297,7/22/24 14:02,14.996,,,,,
2298,7/22/24 14:17,14.709,,,,,
2299,7/22/24 14:32,14.517,,,,,
2300,7/22/24 14:47,14.134,,,,,
2301,7/22/24 15:02,13.846,,,,,
2302,7/22/24 15:17,13.461,,,,,
2303,7/22/24 15:32,13.076,,,,,
2304,7/22/24 15:47,12.69,,,,,
2305,7/22/24 16:02,12.401,,,,,
2306,7/22/24 16:17,12.207,,,,,
2307,7/22/24 16:32,11.916,,,,,
2308,7/22/24 16:47,11.722,,,,,
2309,7/22/24 17:02,11.431,,,,,
2310,7/22/24 17:17,11.334,,,,,
2311,7/22/24 17:32,11.236,,,,,
2312,7/22/24 17:47,11.139,,,,,
2313,7/22/24 18:02,11.041,,,,,
2314,7/22/24 18:17,11.041,,,,,
2315,7/22/24 18:32,10.944,,,,,
2316,7/22/24 18:47,10.846,,,,,
2317,7/22/24 19:02,10.748,,,,,
2318,7/22/24 19:17,10.553,,,,,
2319,7/22/24 19:32,10.357,,,,,
2320,7/22/24 19:47,10.161,,,,,
2321,7/22/24 20:02,9.866,,,,,
2322,7/22/24 20:17,9.571,,,,,
2323,7/22/24 20:32,9.373,,,,,
2324,7/22/24 20:47,9.077,,,,,
2325,7/22/24 21:02,8.779,,,,,
2326,7/22/24 21:17,8.481,,,,,
2327,7/22/24 21:32,8.182,,,,,
2328,7/22/24 21:47,7.882,,,,,
2329,7/22/24 22:02,7.582,,,,,
2330,7/22/24 22:17,7.381,,,,,
2331,7/22/24 22:32,7.079,,,,,
2332,7/22/24 22:47,6.775,,,,,
2333,7/22/24 23:02,6.471,,,,,
2334,7/22/24 23:17,6.268,,,,,
2335,7/22/24 23:32,5.962,,,,,
2336,7/22/24 23:47,5.757,,,,,
2337,7/23/24 0:02,5.552,,,,,
2338,7/23/24 0:17,5.347,,,,,
2339,7/23/24 0:32,5.037,,,,,
2340,7/23/24 0:47,4.934,,,,,
2341,7/23/24 1:02,4.727,,,,,
2342,7/23/24 1:17,4.519,,,,,
2343,7/23/24 1:32,4.415,,,,,
2344,7/23/24 1:47,4.207,,,,,
2345,7/23/24 2:02,4.102,,,,,
2346,7/23/24 2:17,3.893,,,,,
2347,7/23/24 2:32,3.788,,,,,
2348,7/23/24 2:47,3.683,,,,,
2349,7/23/24 3:02,3.578,,,,,
2350,7/23/24 3:17,3.367,,,,,
2351,7/23/24 3:32,3.261,,,,,
2352,7/23/24 3:47,3.155,,,,,
2353,7/23/24 4:02,3.049,,,,,
2354,7/23/24 4:17,2.943,,,,,
2355,7/23/24 4:32,2.943,,,,,
2356,7/23/24 4:47,2.837,,,,,
2357,7/23/24 5:02,2.73,,,,,
2358,7/23/24 5:17,2.624,,,,,
2359,7/23/24 5:32,2.624,,,,,
2360,7/23/24 5:47,2.517,,,,,
2361,7/23/24 6:02,2.41,,,,,
2362,7/23/24 6:17,2.41,,,,,
2363,7/23/24 6:32,2.303,,,,,
2364,7/23/24 6:47,2.303,,,,,
2365,7/23/24 7:02,2.195,,,,,
2366,7/23/24 7:17,2.195,,,,,
2367,7/23/24 7:32,2.195,,,,,
2368,7/23/24 7:47,2.088,,,,,
2369,7/23/24 8:02,2.088,,,,,
2370,7/23/24 8:17,2.088,,,,,
2371,7/23/24 8:32,2.088,,,,,
2372,7/23/24 8:47,2.088,,,,,
2373,7/23/24 9:02,2.088,,,,,
2374,7/23/24 9:17,2.088,,,,,
2375,7/23/24 9:32,2.195,,,,,
2376,7/23/24 9:47,2.195,,,,,
2377,7/23/24 10:02,2.195,,,,,
2378,7/23/24 10:17,2.303,,,,,
2379,7/23/24 10:32,2.303,,,,,
2380,7/23/24 10:47,2.303,,,,,
2381,7/23/24 11:02,2.303,,,,,
2382,7/23/24 11:17,2.303,,,,,
2383,7/23/24 11:32,2.41,,,,,
2384,7/23/24 11:47,2.41,,,,,
2385,7/23/24 12:02,2.41,,,,,
2386,7/23/24 12:17,2.41,,,,,
2387,7/23/24 12:32,2.41,,,,,
2388,7/23/24 12:47,2.41,,,,,
2389,7/23/24 13:02,2.41,,,,,
2390,7/23/24 13:17,2.41,,,,,
2391,7/23/24 13:32,2.517,,,,,
2392,7/23/24 13:47,2.517,,,,,
2393,7/23/24 14:02,2.517,,,,,
2394,7/23/24 14:17,2.517,,,,,
2395,7/23/24 14:32,2.517,,,,,
2396,7/23/24 14:47,2.517,,,,,
2397,7/23/24 15:02,2.624,,,,,
2398,7/23/24 15:17,2.624,,,,,
2399,7/23/24 15:32,2.624,,,,,
2404,7/23/24 16:17,2.624,,,,,
2405,7/23/24 16:32,2.624,,,,,
2406,7/23/24 16:47,2.624,,,,,
2407,7/23/24 17:02,2.624,,,,,
2408,7/23/24 17:17,2.624,,,,,
2409,7/23/24 17:32,2.624,,,,,
2410,7/23/24 17:47,2.517,,,,,
2411,7/23/24 18:02,2.517,,,,,
2412,7/23/24 18:17,2.517,,,,,
2413,7/23/24 18:32,2.41,,,,,
