Plot Title: T4A,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 21435413, SEN S/N: 21435413)",Coupler Detached (LGR S/N: 21435413),Coupler Attached (LGR S/N: 21435413),Host Connected (LGR S/N: 21435413),Stopped (LGR S/N: 21435413),End Of File (LGR S/N: 21435413)
2241,7/22/24 0:03,15.091,,,,,
2242,7/22/24 0:18,15.091,,,,,
2243,7/22/24 0:33,15.091,,,,,
2244,7/22/24 0:48,15.091,,,,,
2245,7/22/24 1:03,15.091,,,,,
2246,7/22/24 1:18,15.091,,,,,
2247,7/22/24 1:33,15.091,,,,,
2248,7/22/24 1:48,15.091,,,,,
2249,7/22/24 2:03,14.996,,,,,
2250,7/22/24 2:18,14.996,,,,,
2251,7/22/24 2:33,14.996,,,,,
2252,7/22/24 2:48,14.996,,,,,
2253,7/22/24 3:03,14.996,,,,,
2254,7/22/24 3:18,14.996,,,,,
2255,7/22/24 3:33,14.996,,,,,
2256,7/22/24 3:48,14.996,,,,,
2257,7/22/24 4:03,14.996,,,,,
2258,7/22/24 4:18,14.996,,,,,
2259,7/22/24 4:33,14.9,,,,,
2260,7/22/24 4:48,14.9,,,,,
2261,7/22/24 5:03,14.9,,,,,
2262,7/22/24 5:18,14.9,,,,,
2263,7/22/24 5:33,14.9,,,,,
2264,7/22/24 5:48,14.9,,,,,
2265,7/22/24 6:03,14.996,,,,,
2266,7/22/24 6:18,14.9,,,,,
2267,7/22/24 6:33,14.996,,,,,
2268,7/22/24 6:48,14.9,,,,,
2269,7/22/24 7:03,14.9,,,,,
2270,7/22/24 7:18,14.9,,,,,
2271,7/22/24 7:33,14.9,,,,,
2272,7/22/24 7:48,14.9,,,,,
2273,7/22/24 8:03,14.9,,,,,
2274,7/22/24 8:18,14.9,,,,,
2275,7/22/24 8:33,14.9,,,,,
2276,7/22/24 8:48,14.9,,,,,
2277,7/22/24 9:03,14.9,,,,,
2278,7/22/24 9:18,14.9,,,,,
2279,7/22/24 9:33,14.9,,,,,
2280,7/22/24 9:48,14.996,,,,,
2281,7/22/24 10:03,14.996,,,,,
2282,7/22/24 10:18,14.996,,,,,
2283,7/22/24 10:33,14.996,,,,,
2284,7/22/24 10:48,14.996,,,,,
2285,7/22/24 11:03,14.996,,,,,
2286,7/22/24 11:18,14.996,,,,,
2287,7/22/24 11:33,14.9,,,,,
2288,7/22/24 11:48,15.187,,,,,
2289,7/22/24 12:03,15.282,,,,,
2290,7/22/24 12:18,15.282,,,,,
2291,7/22/24 12:33,15.282,,,,,
2292,7/22/24 12:48,15.187,,,,,
2293,7/22/24 13:03,15.091,,,,,
2294,7/22/24 13:18,15.187,,,,,
