Plot Title: T5B-2,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20548770, SEN S/N: 20548770)",Coupler Detached (LGR S/N: 20548770),Coupler Attached (LGR S/N: 20548770),Host Connected (LGR S/N: 20548770),End Of File (LGR S/N: 20548770)
3,7/23/24 16:50,5.244,,,,
4,7/23/24 17:05,5.141,,,,
5,7/23/24 17:20,5.037,,,,
6,7/23/24 17:35,5.244,,,,
7,7/23/24 17:50,5.244,,,,
8,7/23/24 18:05,5.037,,,,
9,7/23/24 18:20,5.244,,,,
10,7/23/24 18:35,5.141,,,,
11,7/23/24 18:50,5.244,,,,
12,7/23/24 19:05,5.037,,,,
13,7/23/24 19:20,5.244,,,,
14,7/23/24 19:35,5.037,,,,
15,7/23/24 19:50,5.244,,,,
16,7/23/24 20:05,5.141,,,,
17,7/23/24 20:20,5.141,,,,
18,7/23/24 20:35,5.244,,,,
19,7/23/24 20:50,5.141,,,,
20,7/23/24 21:05,5.244,,,,
21,7/23/24 21:20,5.037,,,,
22,7/23/24 21:35,5.244,,,,
23,7/23/24 21:50,5.037,,,,
24,7/23/24 22:05,5.244,,,,
25,7/23/24 22:20,5.141,,,,
26,7/23/24 22:35,5.141,,,,
27,7/23/24 22:50,5.244,,,,
28,7/23/24 23:05,5.141,,,,
29,7/23/24 23:20,5.244,,,,
30,7/23/24 23:35,5.141,,,,
31,7/23/24 23:50,5.244,,,,
32,7/24/24 0:05,5.037,,,,
33,7/24/24 0:20,5.244,,,,
34,7/24/24 0:35,5.037,,,,
35,7/24/24 0:50,5.141,,,,
36,7/24/24 1:05,5.141,,,,
37,7/24/24 1:20,5.141,,,,
38,7/24/24 1:35,5.244,,,,
39,7/24/24 1:50,5.141,,,,
40,7/24/24 2:05,5.244,,,,
41,7/24/24 2:20,5.037,,,,
42,7/24/24 2:35,5.244,,,,
43,7/24/24 2:50,5.037,,,,
44,7/24/24 3:05,5.141,,,,
45,7/24/24 3:20,5.037,,,,
46,7/24/24 3:35,5.244,,,,
47,7/24/24 3:50,5.037,,,,
48,7/24/24 4:05,5.141,,,,
49,7/24/24 4:20,5.037,,,,
50,7/24/24 4:35,5.141,,,,
51,7/24/24 4:50,5.244,,,,
52,7/24/24 5:05,5.141,,,,
53,7/24/24 5:20,5.244,,,,
54,7/24/24 5:35,5.141,,,,
55,7/24/24 5:50,5.244,,,,
56,7/24/24 6:05,5.141,,,,
57,7/24/24 6:20,5.244,,,,
58,7/24/24 6:35,5.037,,,,
59,7/24/24 6:50,5.244,,,,
60,7/24/24 7:05,5.037,,,,
61,7/24/24 7:20,5.244,,,,
62,7/24/24 7:35,5.037,,,,
63,7/24/24 7:50,5.244,,,,
64,7/24/24 8:05,5.141,,,,
65,7/24/24 8:20,5.037,,,,
66,7/24/24 8:35,5.244,,,,
67,7/24/24 8:50,5.141,,,,
68,7/24/24 9:05,5.141,,,,
69,7/24/24 9:20,5.141,,,,
70,7/24/24 9:35,5.037,,,,
71,7/24/24 9:50,5.347,,,,
72,7/24/24 10:05,5.347,,,,
73,7/24/24 10:20,5.347,,,,
74,7/24/24 10:35,5.347,,,,
75,7/24/24 10:50,5.347,,,,
76,7/24/24 11:05,5.244,,,,
