Plot Title: T6B,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 21435417, SEN S/N: 21435417, LBL: T6B)",Coupler Detached (LGR S/N: 21435417),Coupler Attached (LGR S/N: 21435417),Host Connected (LGR S/N: 21435417),Stopped (LGR S/N: 21435417),End Of File (LGR S/N: 21435417)
2245,7/22/24 0:08,17.094,,,,,
2246,7/22/24 0:23,17.094,,,,,
2247,7/22/24 0:38,17.094,,,,,
2248,7/22/24 0:53,17.094,,,,,
2249,7/22/24 1:08,17.094,,,,,
2250,7/22/24 1:23,16.999,,,,,
2251,7/22/24 1:38,16.999,,,,,
2252,7/22/24 1:53,16.999,,,,,
2253,7/22/24 2:08,16.999,,,,,
2254,7/22/24 2:23,16.999,,,,,
2255,7/22/24 2:38,16.999,,,,,
2256,7/22/24 2:53,16.999,,,,,
2257,7/22/24 3:08,16.999,,,,,
2258,7/22/24 3:23,16.999,,,,,
2259,7/22/24 3:38,16.999,,,,,
2260,7/22/24 3:53,16.999,,,,,
2261,7/22/24 4:08,16.999,,,,,
2262,7/22/24 4:23,16.999,,,,,
2263,7/22/24 4:38,16.999,,,,,
2264,7/22/24 4:53,16.999,,,,,
2265,7/22/24 5:08,16.999,,,,,
2266,7/22/24 5:23,16.999,,,,,
2267,7/22/24 5:38,16.999,,,,,
2268,7/22/24 5:53,16.999,,,,,
2269,7/22/24 6:08,16.999,,,,,
2270,7/22/24 6:23,16.999,,,,,
2271,7/22/24 6:38,16.999,,,,,
2272,7/22/24 6:53,16.999,,,,,
2273,7/22/24 7:08,16.999,,,,,
2274,7/22/24 7:23,17.094,,,,,
2275,7/22/24 7:38,17.094,,,,,
2276,7/22/24 7:53,17.094,,,,,
2277,7/22/24 8:08,17.189,,,,,
2278,7/22/24 8:23,17.189,,,,,
2279,7/22/24 8:38,17.189,,,,,
2280,7/22/24 8:53,17.094,,,,,
2281,7/22/24 9:08,17.094,,,,,
2282,7/22/24 9:23,17.094,,,,,
2283,7/22/24 9:38,17.189,,,,,
2284,7/22/24 9:53,17.189,,,,,
2285,7/22/24 10:08,17.189,,,,,
2286,7/22/24 10:23,17.189,,,,,
2287,7/22/24 10:38,17.189,,,,,
2288,7/22/24 10:53,17.284,,,,,
2289,7/22/24 11:08,17.284,,,,,
2290,7/22/24 11:23,17.284,,,,,
2291,7/22/24 11:38,17.379,,,,,
2292,7/22/24 11:53,17.379,,,,,
2293,7/22/24 12:08,17.475,,,,,
2294,7/22/24 12:23,17.57,,,,,
2295,7/22/24 12:38,17.57,,,,,
2296,7/22/24 12:53,17.665,,,,,
2297,7/22/24 13:08,17.76,,,,,
2298,7/22/24 13:23,17.76,,,,,
2299,7/22/24 13:38,17.76,,,,,
2300,7/22/24 13:53,17.57,,,,,
2301,7/22/24 14:08,17.284,,,,,
2302,7/22/24 14:23,16.903,,,,,
2303,7/22/24 14:38,16.523,,,,,
2304,7/22/24 14:53,16.141,,,,,
2305,7/22/24 15:08,15.664,,,,,
2306,7/22/24 15:23,15.187,,,,,
2307,7/22/24 15:38,14.804,,,,,
2308,7/22/24 15:53,14.421,,,,,
2309,7/22/24 16:08,14.134,,,,,
2310,7/22/24 16:23,13.75,,,,,
2311,7/22/24 16:38,13.558,,,,,
2312,7/22/24 16:53,13.365,,,,,
2313,7/22/24 17:08,13.269,,,,,
2314,7/22/24 17:23,12.98,,,,,
2315,7/22/24 17:38,12.787,,,,,
2316,7/22/24 17:53,12.594,,,,,
2317,7/22/24 18:08,12.497,,,,,
2318,7/22/24 18:23,12.401,,,,,
2319,7/22/24 18:38,12.304,,,,,
2320,7/22/24 18:53,12.11,,,,,
2321,7/22/24 19:08,11.916,,,,,
2322,7/22/24 19:23,11.722,,,,,
2323,7/22/24 19:38,11.431,,,,,
2324,7/22/24 19:53,11.139,,,,,
2325,7/22/24 20:08,10.748,,,,,
2326,7/22/24 20:23,10.455,,,,,
2327,7/22/24 20:38,10.161,,,,,
2328,7/22/24 20:53,9.866,,,,,
2329,7/22/24 21:08,9.472,,,,,
2330,7/22/24 21:23,9.176,,,,,
2331,7/22/24 21:38,8.879,,,,,
2332,7/22/24 21:53,8.581,,,,,
2333,7/22/24 22:08,8.282,,,,,
2334,7/22/24 22:23,7.882,,,,,
2335,7/22/24 22:38,7.582,,,,,
2336,7/22/24 22:53,7.28,,,,,
2337,7/22/24 23:08,7.079,,,,,
2338,7/22/24 23:23,6.775,,,,,
2339,7/22/24 23:38,6.471,,,,,
2340,7/22/24 23:53,6.268,,,,,
2341,7/23/24 0:08,5.962,,,,,
2342,7/23/24 0:23,5.757,,,,,
2343,7/23/24 0:38,5.552,,,,,
2344,7/23/24 0:53,5.347,,,,,
2345,7/23/24 1:08,5.757,,,,,
2346,7/23/24 1:23,5.552,,,,,
2347,7/23/24 1:38,5.347,,,,,
2348,7/23/24 1:53,5.86,,,,,
2349,7/23/24 2:08,5.655,,,,,
2350,7/23/24 2:23,5.45,,,,,
2351,7/23/24 2:38,5.86,,,,,
2352,7/23/24 2:53,5.655,,,,,
2353,7/23/24 3:08,5.45,,,,,
2354,7/23/24 3:23,5.757,,,,,
2355,7/23/24 3:38,5.552,,,,,
2356,7/23/24 3:53,5.347,,,,,
2357,7/23/24 4:08,5.757,,,,,
2358,7/23/24 4:23,5.552,,,,,
2359,7/23/24 4:38,5.347,,,,,
2360,7/23/24 4:53,5.757,,,,,
2361,7/23/24 5:08,5.45,,,,,
2362,7/23/24 5:23,5.45,,,,,
2363,7/23/24 5:38,5.655,,,,,
2364,7/23/24 5:53,5.45,,,,,
2365,7/23/24 6:08,5.757,,,,,
2366,7/23/24 6:23,5.45,,,,,
2367,7/23/24 6:38,5.45,,,,,
2368,7/23/24 6:53,5.655,,,,,
2369,7/23/24 7:08,5.45,,,,,
2370,7/23/24 7:23,5.757,,,,,
2371,7/23/24 7:38,5.655,,,,,
2372,7/23/24 7:53,5.45,,,,,
2373,7/23/24 8:08,5.757,,,,,
2374,7/23/24 8:23,5.655,,,,,
2375,7/23/24 8:38,5.552,,,,,
2376,7/23/24 8:53,5.347,,,,,
2377,7/23/24 9:08,5.757,,,,,
2378,7/23/24 9:23,5.757,,,,,
2379,7/23/24 9:38,5.655,,,,,
2380,7/23/24 9:53,5.552,,,,,
2381,7/23/24 10:08,5.347,,,,,
2382,7/23/24 10:23,5.655,,,,,
2383,7/23/24 10:38,5.757,,,,,
2384,7/23/24 10:53,5.552,,,,,
2385,7/23/24 11:08,5.347,,,,,
2386,7/23/24 11:23,5.757,,,,,
2387,7/23/24 11:38,5.552,,,,,
2388,7/23/24 11:53,5.45,,,,,
2389,7/23/24 12:08,5.655,,,,,
2390,7/23/24 12:23,5.655,,,,,
2391,7/23/24 12:38,5.45,,,,,
2392,7/23/24 12:53,5.347,,,,,
2393,7/23/24 13:08,5.757,,,,,
2394,7/23/24 13:23,5.552,,,,,
