ID,population,tank,number,sex,integument-color,carapace-width,carapace-length,weight,leg?,dead-date,notes
MA-145,MA,T01,145,M,YG,56,40,35.25,X,7/22/2024,
MA-146,MA,T01,146,F,Y,48,37,21.63,X,7/26/24,
MA-147,MA,T01,147,F,YG,45,35,16.39,X,7/23/2024,-R1
MA-148,MA,T01,148,M,YG,54,41,34.82,X,7/23/24,
MA-149,MA,T01,149,M,YG,53,41,34.62,X,7/23/2024,
MA-150,MA,T01,150,F,YG,53,40,28.46,X,7/26/2024,-L1
MA-151,MA,T01,151,M,Y,51,40,26.13,X,7/23/24,-R1
MA-152,MA,T01,152,M,Y,50,40,28.63,X,7/26/24,
MA-153,MA,T01,153,F,Y,56,43,37.48,X,7/22/2024,
MA-154,MA,T01,154,M,Y,51,40,29.38,X,7/26/24,
MA-155,MA,T01,155,M,YG,50,38,27.28,X,7/23/24,
MA-156,MA,T01,156,F,Y,52,40,27.31,X,7/26/24,
MA-157,MA,T01,157,M,Y,52,40,30.59,X,7/22/24,
MA-160,MA,T02,160,M,Y,53,41,31.47,X,7/26/2024,
MA-161,MA,T02,161,F,YG,48,39,25.77,X,7/26/24,
MA-162,MA,T02,162,F,Y,50,39,27.41,X,7/26/2024,
MA-163,MA,T02,163,M,Y,57,43,44.43,X,7/23/24,
MA-164,MA,T02,164,M,YG,56,43,37.79,X,7/23/24,
MA-165,MA,T02,165,F,Y,60,46,46.63,X,7/22/24,
MA-166,MA,T02,166,M,Y,50,40,29.26,X,7/23/2024,
MA-167,MA,T02,167,F,YO,59,45,45.08,X,7/26/24,
MA-168,MA,T02,168,M,YG,52,39,28.03,X,7/26/2024,
MA-169,MA,T02,169,M,YG,50,40,26.38,X,7/22/2024,
MA-170,MA,T02,170,M,Y,55,42,34.70,X,7/26/2024,
MA-171,MA,T02,171,F,O,54,42,33.34,X,7/23/2024,
MA-172,MA,T02,172,M,Y,60,46,49.10,X,7/22/2024,
MA-175,MA,T03,175,F,G,52,40,27.01,X,7/26/24,
MA-176,MA,T03,176,F,YG,53,40,30.64,X,7/23/2024,
MA-177,MA,T03,177,F,YG,46,36,20.26,X,7/26/24,"-L2, -L3"
MA-178,MA,T03,178,M,YG,60,45,44.39,X,7/22/2024,
MA-179,MA,T03,179,F,YG,47,38,20.59,X,7/26/2024,
MA-180,MA,T03,180,M,YG,56,44,42.26,X,7/22/24,-L5
MA-181,MA,T03,181,M,YG,58,44,38.56,X,7/22/24,-R1
MA-182,MA,T03,182,M,YG,51,39,26.69,X,7/26/2024,
MA-183,MA,T03,183,M,Y,51,39,28.86,X,7/23/2024,
MA-184,MA,T03,184,M,YG,54,40,29.51,X,7/23/24,
MA-185,MA,T03,185,M,Y,53,40,32.18,X,7/26/2024,
MA-186,MA,T03,186,F,Y,59,45,42.95,X,7/23/2024,
MA-190,MA,T04,190,M,YG,51,39,29.12,X,7/26/2024,
MA-191,MA,T04,191,M,YG,59,43,42.44,X,7/22/2024,
MA-192,MA,T04,192,M,Y,52,39,30.03,X,7/23/2024,
MA-193,MA,T04,193,F,O,56,42,34.81,X,7/22/2024,
MA-194,MA,T04,194,M,Y,57,43,42.56,X,7/23/2024,
MA-195,MA,T04,195,F,G,50,40,28.28,X,7/26/2024,
MA-196,MA,T04,196,M,YG,51,38,25.40,X,7/26/2024,
MA-197,MA,T04,197,M,YG,57,42,39.21,X,7/22/2024,-L2
MA-198,MA,T04,198,M,YG,51,38,27.73,X,7/23/2024,sampled R4
MA-199,MA,T04,199,M,YG,58,44,41.79,X,7/23/2024,"-L4, sampled R4"
MA-200,MA,T04,200,F,YG,47,37,22.53,X,7/26/2024,
MA-201,MA,T04,201,F,YG,52,40,28.63,X,7/26/2024,
MA-202,MA,T04,202,M,G,50,38,25.00,X,7/23/2024,
MA-205,MA,T05,205,F,O,51,39,28.27,X,7/23/24,
MA-206,MA,T05,206,M,Y,59,44,43.41,X,7/22/2024,
MA-207,MA,T05,207,M,YG,57,43,39.50,X,7/22/2024,
MA-208,MA,T05,208,M,Y,55,42,35.20,X,7/23/2024,
MA-209,MA,T05,209,M,Y,54,40,37.75,X,7/26/24,
MA-210,MA,T05,210,M,YO,55,41,32.44,X,7/23/24,-R1
MA-211,MA,T05,211,M,G,50,37,25.02,X,7/26/2024,
MA-212,MA,T05,212,F,YG,50,38,27.82,X,7/26/2024,
MA-213,MA,T05,213,F,Y,47,35,20.92,X,7/23/2024,
MA-214,MA,T05,214,F,BG,49,38,24.71,X,7/23/24,
MA-215,MA,T05,215,M,Y,52,39,28.54,X,7/26/2024,
MA-216,MA,T05,216,M,YG,48,37,22.52,X,7/22/2024,
MA-217,MA,T05,217,F,G,46,34,17.83,X,7/26/2024,
MA-220,MA,T06,220,M,Y,57,42,39.38,X,7/22/2024,
