date,timepoint,tank,crab-ID,trial.1,trial.2,trial.3,sex,integument.color,weight,missing.non.sampled,missing.swimmer,carapace.width,notes
7/22/2024,0,T01,145,0.91,1.13,1.07,M,Y,35.84,N,N,56,
7/22/2024,0,T01,146,0.88,1.06,1.15,F,Y,22.24,N,N,48,
7/22/2024,0,T01,147,0.75,0.75,0.72,F,Y,17.03,Y,N,45,-R1
7/22/2024,0,T01,148,1.25,0.97,1.07,M,Y,35.02,N,N,54,
7/22/2024,0,T01,149,0.84,1.17,1.97,M,Y,38.02,N,N,53,
7/22/2024,0,T01,150,0.81,0.59,0.94,F,YG,29.77,Y,N,53,-L1
7/22/2024,0,T01,153,1.22,1.25,1.13,F,Y,38.00,N,N,56,
7/22/2024,0,T01,154,1.78,1.59,2.10,M,Y,35.01,N,N,51,
7/22/2024,0,T01,155,1.68,1.63,1.50,M,YG,28.50,N,N,50,
7/22/2024,0,T01,156,0.66,1.06,0.78,F,Y,29.26,N,N,52,
7/22/2024,0,T01,157,1.25,1.31,1.10,M,YG,36.05,N,N,52,
7/22/2024,0,T02,160,0.94,1.06,1.18,M,Y,33.89,N,N,53,
7/22/2024,0,T02,161,1.28,1.28,0.85,F,Y,26.75,N,N,48,
7/22/2024,0,T02,164,0.78,1.16,1.12,M,YG,34.85,N,N,56,unclear label
7/22/2024,0,T02,165,1.57,1.00,1.27,F,Y,46.32,Y,N,60,-L3
7/22/2024,0,T02,166,1.12,1.31,1.09,M,YG,30.70,N,N,50,
7/22/2024,0,T02,167,6.38,2.91,3.13,F,Y,44.73,N,N,59,eggs scraped out
7/22/2024,0,T02,168,1.31,1.13,1.75,M,YG,29.61,N,N,52,
7/22/2024,0,T02,169,0.75,0.91,0.72,M,Y,26.80,N,N,50,
7/22/2024,0,T02,171,1.00,1.50,3.16,F,O,34.74,N,N,54,
7/22/2024,0,T02,172,2.63,3.41,4.34,M,Y,50.90,N,N,60,
7/22/2024,0,T03,175,1.41,0.94,0.75,F,G,29.02,N,N,52,
7/22/2024,0,T03,176,0.91,0.78,0.69,F,Y,31.81,N,N,53,
7/22/2024,0,T03,177,1.09,0.81,0.85,F,Y,46.04,N,N,46,
7/22/2024,0,T03,178,1.06,2.94,2.69,M,YG,21.08,Y,N,60,"-L2, -L4, R2 sampled"
7/22/2024,0,T03,179,1.21,1.38,0.57,F,YG,29.69,Y,N,47,"-L4, missing label"
7/22/2024,0,T03,180,3.19,1.50,1.85,M,YG,43.23,Y,Y,56,-L5
7/22/2024,0,T03,181,1.00,3.09,3.59,M,YG,42.90,Y,N,58,-R1
7/22/2024,0,T03,182,1.22,1.97,3.85,M,YG,27.96,N,N,51,
7/22/2024,0,T03,183,0.75,0.69,1.00,M,Y,28.39,Y,N,51,-R1
7/22/2024,0,T03,184,6.50,11.56,7.97,M,YG,31.30,N,N,54,
7/22/2024,0,T04,190,0.93,0.63,1.00,M,YG,30.00,N,N,51,
7/22/2024,0,T04,191,1.04,1.06,0.71,M,YG,43.51,N,N,59,
7/22/2024,0,T04,192,3.65,1.19,3.22,M,Y,30.23,N,N,52,
7/22/2024,0,T04,193,2.93,2.15,2.18,F,YO,36.50,N,N,56,
7/22/2024,0,T04,194,3.19,3.87,3.19,M,YG,43.56,N,N,57,
7/22/2024,0,T04,195,2.34,1.75,1.22,F,Y,28.83,N,N,50,unclear label
7/22/2024,0,T04,196,1.22,2.92,1.12,M,Y,27.65,N,N,51,
7/22/2024,0,T04,197,1.06,1.50,1.00,M,G,37.46,Y,N,57,-L2
7/22/2024,0,T04,198,1.53,1.32,1.07,M,YG,27.31,Y,N,51,-R4
7/22/2024,0,T04,201,4.28,8.19,1.65,F,Y,30.78,N,N,52,
7/22/2024,0,T04,202,1.03,0.81,1.04,M,G,26.31,N,N,50,
7/22/2024,0,T05,205,4.41,2.97,2.40,F,YO,29.48,N,N,51,
7/22/2024,0,T05,206,0.69,0.78,0.87,M,G,45.51,N,N,59,
7/22/2024,0,T05,207,0.93,0.84,0.75,M,G,41.66,N,N,57,
7/22/2024,0,T05,208,0.68,2.15,2.63,M,Y,36.20,N,N,55,wouldn't let go of tissue
7/22/2024,0,T05,209,0.69,0.75,0.90,M,YG,34.65,N,N,54,
7/22/2024,0,T05,212,1.91,1.09,1.09,F,YG,27.30,N,N,50,
7/22/2024,0,T05,213,1.46,0.78,0.94,F,Y,21.94,N,N,47,
7/22/2024,0,T05,214,1.46,1.53,1.68,F,YG,26.47,Y,N,49,-L3
7/22/2024,0,T05,215,0.78,1.50,1.00,M,Y,29.86,N,N,52,annoying
7/22/2024,0,T05,216,1.62,1.50,1.44,M,Y,23.21,N,N,48,
7/22/2024,0,T05,217,0.78,0.62,1.03,F,YG,19.30,N,N,46,
7/22/2024,0,T06,220,0.75,0.75,1.15,M,Y,40.94,N,N,57,
7/22/2024,0,T06,221,0.84,1.22,1.48,F,G,33.54,N,N,53,
7/22/2024,0,T06,222,0.91,0.82,0.90,M,G,28.98,N,N,51,
7/22/2024,0,T06,223,0.75,0.81,0.78,F,Y,24.74,N,N,50,"regrowing R1, unclear label"
7/22/2024,0,T06,224,0.60,0.94,1.12,M,YG,33.09,Y,N,55,-L3
7/22/2024,0,T06,225,0.53,0.74,0.60,F,Y,25.26,N,N,49,
7/22/2024,0,T06,228,1.19,1.25,1.12,M,YG,31.17,N,N,52,
7/22/2024,0,T06,230,0.68,0.57,0.79,M,Y,43.46,N,N,59,
7/22/2024,0,T07,235,0.75,1.97,1.22,F,G,27.27,N,N,51,unclear label
7/22/2024,0,T07,236,1.41,1.66,0.69,M,YG,32.69,Y,N,57,"-R1, -L1"
7/22/2024,0,T07,237,2.53,2.00,2.87,M,YG,34.26,Y,N,54,-L2
7/22/2024,0,T07,238,0.93,1.38,1.03,M,YG,32.54,N,N,54,
7/22/2024,0,T07,239,1.25,1.34,1.50,M,Y,34.46,Y,N,55,-R1
7/22/2024,0,T07,240,2.56,1.41,1.41,M,YG,30.43,N,N,51,
7/22/2024,0,T07,244,1.96,1.69,2.12,M,YG,35.61,N,N,55,
7/22/2024,0,T07,245,1.43,1.28,0.91,M,YG,30.73,N,N,52,
7/22/2024,0,T07,246,1.59,2.93,2.31,F,YG,22.46,N,N,46,
7/22/2024,0,T08,250,1.25,2.15,1.40,F,YG,22.69,N,N,47,R2 sampled instead of R3
7/22/2024,0,T08,251,1.16,1.08,1.56,M,YG,35.85,N,N,55,
7/22/2024,0,T08,252,0.81,0.57,1.46,F,YG,40.60,N,N,60,regrowing R1
7/22/2024,0,T08,255,2.18,1.81,1.40,M,G,40.59,N,N,56,
7/22/2024,0,T08,256,0.40,0.93,1.25,M,YG,29.67,N,N,52,
7/22/2024,0,T08,257,1.12,1.37,2.38,M,Y,24.73,N,N,49,
7/22/2024,0,T08,258,2.00,2.37,1.00,M,Y,37.20,N,N,54,
7/22/2024,0,T08,259,0.72,1.00,0.81,F,YG,17.59,N,N,44,
7/22/2024,0,T08,260,1.82,1.63,1.56,M,YG,36.52,N,N,56,
7/22/2024,0,T08,261,1.69,1.22,0.79,M,Y,47.42,Y,Y,62,"-R1, -L5"
7/22/2024,0,T08,262,2.37,2.00,2.31,M,Y,53.14,N,N,59,
7/22/2024,1,T01,146,1.28,1.63,1.34,F,Y,22.24,N,N,48,
7/22/2024,1,T01,147,0.81,0.82,0.78,F,Y,17.03,N,N,45,
7/22/2024,1,T01,148,1.82,0.90,1.90,M,Y,35.02,N,N,54,
7/22/2024,1,T01,149,1.22,2.06,1.10,M,Y,38.02,N,N,53,R2 sampled
7/22/2024,1,T01,150,1.65,0.94,1.16,F,YG,29.77,Y,N,53,-R1
7/22/2024,1,T01,153,2.25,0.88,0.93,F,Y,38.00,N,N,56,
7/22/2024,1,T01,154,2.60,2.13,1.00,M,Y,35.01,N,N,51,
7/22/2024,1,T01,155,0.87,1.45,1.28,M,YG,28.50,N,N,50,
7/22/2024,1,T01,156,0.84,1.32,0.94,F,Y,29.26,N,N,52,
7/22/2024,1,T02,160,0.91,1.63,1.34,M,Y,33.89,N,N,53,
7/22/2024,1,T02,161,1.69,1.50,1.15,F,Y,26.75,N,N,48,
7/22/2024,1,T02,164,0.94,1.50,1.03,M,YG,34.85,N,N,56,R4 sampled
7/22/2024,1,T02,165,1.47,1.29,1.85,F,Y,46.32,Y,N,60,-L3
7/22/2024,1,T02,166,1.66,1.53,0.97,M,YG,30.70,N,N,50,
7/22/2024,1,T02,167,1.43,1.78,1.75,F,Y,44.73,N,N,59,
7/22/2024,1,T02,168,0.72,1.13,0.71,M,YG,29.61,N,N,52,
7/22/2024,1,T02,169,1.25,1.43,1.00,M,Y,26.80,N,N,50,
7/22/2024,1,T03,175,1.19,1.09,0.85,F,G,29.02,N,N,52,
7/22/2024,1,T03,176,1.25,0.90,1.25,F,Y,31.81,N,N,53,
7/22/2024,1,T03,177,5.31,6.43,7.50,M,Y,46.04,N,N,46,
7/22/2024,1,T03,179,2.37,1.31,1.37,F,YG,29.69,N,N,47,
7/22/2024,1,T03,181,2.78,3.31,1.03,M,YG,42.90,Y,N,58,-R1
7/22/2024,1,T03,182,2.34,1.09,1.81,M,YG,27.96,N,N,51,
7/22/2024,1,T03,183,9.53,0.60,7.15,M,Y,28.39,N,N,51,
7/22/2024,1,T03,184,9.47,2.19,7.18,M,YG,31.30,N,N,54,
7/22/2024,1,T04,190,1.85,1.72,1.78,M,YG,30.00,N,N,51,
7/22/2024,1,T04,192,2.00,2.84,4.53,M,YG,30.23,N,N,52,
7/22/2024,1,T04,193,1.59,1.50,1.60,F,YO,36.50,N,N,56,
