date,timepoint,tank,crab-ID,trial-1,trial-2,trial-3,sex,integument-color,weight,missing-non-sampled,missing-swimmer,carapace-width,notes
7/25/24,0,1,ME-32,1.18,0.69,0.81,M,YG,20.09,N,N,45,
7/25/24,0,1,ME-33,0.91,0.75,1.44,F,G,23.83,Y,N,49,"R5, L3 SAMPLED FLOATING"
7/25/24,0,1,ME-34,0.45,0.96,0.97,M,Y,29.73,N,N,52,
7/25/24,0,1,ME-35,0.72,0.81,0.94,M,Y,31.86,N,N,52,
7/25/24,0,1,ME-36,1.22,0.94,1.31,M,YG,23.48,N,N,49,
7/25/24,0,1,ME-37,0.91,1.37,1.5,M,Y,43.92,N,N,59,
7/25/24,0,1,ME-38,1.03,0.9,0.94,M,Y,28.71,N,N,51,
7/25/24,0,1,ME-39,0.78,0.78,0.81,M,YG,30.78,Y,N,52,L2
7/25/24,0,1,ME-40,0.85,1,1.28,M,YG,28.62,Y,N,53,L2
7/25/24,0,1,ME-41,0.82,0.9,1.03,M,YG,38.79,N,N,57,
7/25/24,0,1,ME-42,0.82,1.38,1.31,F,YO,23.62,Y,Y,50,"L1, L5"
7/25/24,0,1,ME-43,1.38,1.57,1.25,F,O,18.72,N,N,44,
7/25/24,0,1,ME-44,4.59,6.87,9.78,M,YG,33.67,N,N,54,
7/25/24,0,1,ME-45,0.81,0.88,0.87,M,Y,29.7,N,N,52,
7/25/24,0,1,ME-46,0.94,0.79,0.82,M,YG,24.9,N,N,49,
7/25/24,0,1,ME-47,1.21,1.1,2.9,M,YG,22.9,N,N,47,
7/25/24,0,1,ME-48,1.06,0.56,1.43,M,YG,26.58,N,N,50,
7/25/24,0,2,ME-49,0.71,0.79,0.69,M,Y,42.28,N,N,56,
7/25/24,0,2,ME-50,0.72,0.75,0.88,M,Y,26.61,Y,N,51,L3
7/25/24,0,2,ME-51,0.88,0.78,0.94,M,Y,27.86,Y,N,52,"R3, L3 SAMPLED"
7/25/24,0,2,ME-53,0.91,0.75,1,F,YG,25.49,Y,N,51,L2
7/25/24,0,2,ME-55,0.81,0.82,0.85,M,Y,41.99,N,N,59,
7/25/24,0,2,ME-56,0.78,0.56,0.96,M,G,25.88,N,N,50,
7/25/24,0,2,ME-57,0.65,0.69,0.78,M,Y,23.31,N,N,48,
7/25/24,0,2,ME-59,0.94,0.88,0.97,F,G,17.7,N,N,44,
7/25/24,0,2,ME-60,1.53,2.28,2.82,M,YG,33.06,N,N,53,
7/25/24,0,2,ME-61,1.13,0.69,1.15,F,YG,20.9,N,N,46,
7/25/24,0,2,ME-62,1.38,1.69,1.87,M,YG,39.89,N,N,56,
7/25/24,0,2,ME-63,0.87,0.94,0.97,M,G,16.56,Y,N,44,"R1, L1, R4, L3 SAMPLED"
7/25/24,0,2,ME-64,0.84,1,1.16,M,G,21.39,N,N,48,
7/26/24,22,3,ME-32,1.07,1.1,1.1,M,YG,20.09,N,N,45,
7/26/24,22,3,ME-33,1.12,1.41,1.34,F,G,23.83,Y,N,49,"R3, L3 SAMPLED FLOATING"
7/26/24,22,3,ME-34,1.07,1.19,1.44,M,Y,29.73,N,N,52,
7/26/24,22,3,ME-35,8.13,1.56,2.13,M,Y,31.86,N,N,52,
7/26/24,22,3,ME-36,1.72,1.38,1.31,M,YG,23.48,N,N,49,
7/26/24,22,3,ME-37,1.37,1.43,1.31,M,Y,43.92,N,N,59,
7/26/24,22,3,ME-38,1.06,1.06,1.1,M,Y,28.71,N,N,51,
7/26/24,22,3,ME-39,2.03,1.19,91,M,YG,30.78,Y,N,52,L2
7/26/24,22,3,ME-40,1.09,2.25,1.5,M,YG,28.62,Y,N,53,L2
7/26/24,22,3,ME-41,1.47,1.59,1.41,M,YG,38.79,N,N,57,
7/26/24,22,3,ME-42,2.78,1.47,1.47,F,YO,23.62,Y,Y,50,"L1, L5"
7/26/24,22,3,ME-43,1.12,1.06,1.35,F,O,18.72,N,N,44,
7/26/24,22,3,ME-44,3.5,2.94,5.6,M,YG,33.67,N,N,54,
7/26/24,22,3,ME-45,1.22,2.75,6.4,M,Y,29.7,N,N,52,
7/26/24,22,4,ME-46,1.5,1.37,2.1,M,YG,24.9,N,N,49,
7/26/24,22,4,ME-47,1.65,1.25,2.53,M,YG,22.9,N,N,47,
7/26/24,22,4,ME-48,1.28,1.35,1.62,M,YG,26.58,N,N,50,
7/26/24,22,4,ME-49,0.97,1.62,1.53,M,Y,42.28,N,N,56,
7/26/24,22,4,ME-50,1.57,2.03,1.57,M,Y,26.61,Y,N,51,L3
7/26/24,22,4,ME-51,17.97,2.09,16.59,M,Y,27.86,Y,N,52,"R3, L3 SAMPLED"
7/26/24,22,4,ME-53,1.69,1.75,2.06,F,YG,25.49,Y,N,51,L2
7/26/24,22,4,ME-55,1.28,1.43,1.63,M,Y,41.99,N,N,59,
7/26/24,22,4,ME-56,1.47,1.72,1.91,M,G,25.88,N,N,50,
7/26/24,22,4,ME-57,1.22,1.16,1.57,M,Y,23.31,N,N,48,
7/26/24,22,4,ME-59,2.1,1.35,1.41,F,G,17.7,N,N,44,
7/26/24,22,4,ME-60,1.03,3.07,12.82,M,YG,33.06,N,N,53,
7/26/24,22,5,ME-61,1.15,1.19,0.94,F,YG,20.9,N,N,46,
7/26/24,22,5,ME-62,1.57,1.75,1.75,M,YG,39.89,N,N,56,
7/26/24,22,5,ME-63,1.79,1.72,1.57,M,G,16.56,Y,N,44,"R1, L1, R4, L3 SAMPLED"
7/26/24,22,5,ME-64,2.63,1.37,1.22,M,G,21.39,N,N,48,
