date,timepoint,tank,crab-ID,trial-1,trial-2,trial-3,sex,integument-color,weight,missing-non-sampled,missing-swimmer,carapace-width,notes
7/11/24,0,1,WA-1,0.96,2.21,1.59,F,YO,24.4,N,N,50,
7/11/24,0,1,WA-2,0.66,0.96,1.31,M,Y,18.7,N,N,45,
7/11/24,0,1,WA-3,1.13,1.12,1.09,M,YO,28.9,N,N,51,
7/11/24,0,1,WA-4,1.22,0.97,1.09,M,YG,25.7,N,N,51,
7/11/24,0,1,WA-5,0.82,1.28,1.66,F,YO,21.6,Y,N,49,L4
7/11/24,0,1,WA-6,0.72,1.13,0.59,M,Y,23.1,N,N,48,
7/11/24,0,1,WA-7,1.34,0.81,1.15,M,Y,52.5,N,N,61,
7/11/24,0,1,WA-8,1.31,0.41,1.03,M,YG,13.6,Y,N,43,L2
7/11/24,0,1,WA-9,1.12,1.12,1,M,Y,25.3,N,N,49,
7/11/24,0,1,WA-10,0.94,1.34,1.25,M,YO,18.3,N,N,45,
7/11/24,0,1,WA-11,1,1.22,1.32,M,YG,20.1,N,N,47,
7/11/24,0,1,WA-12,1.54,1.66,1.78,F,O,22.9,N,N,48,
7/11/24,0,1,WA-13,0.75,0.94,0.82,M,YG,21.6,N,N,47,
7/11/24,0,1,WA-14,0.78,1.09,2.09,F,Y,16.4,N,N,44,
7/11/24,0,1,WA-15,0.62,1.16,1.09,M,Y,50.6,N,N,61,unclear label
7/11/24,0,2,WA-16,1.31,1,0.93,M,YG,15.7,N,N,43,
7/11/24,0,2,WA-17,1.09,1.1,0.94,F,O,21.4,N,N,47,
7/11/24,0,2,WA-19,0.75,1.25,1.34,F,YG,19.5,N,N,46,
7/11/24,0,2,WA-20,0.85,0.75,0.82,M,YG,15.9,N,N,44,
7/11/24,0,2,WA-22,1.93,1.63,1.68,F,Y,26.9,Y,Y,52,R5
7/11/24,0,2,WA-23,1.32,1.22,1.6,M,YG,25.6,N,N,50,
7/11/24,0,2,WA-24,0.97,0.94,1.53,M,Y,20.3,N,N,45,unclear label
7/11/24,0,2,WA-25,0.88,1.03,1.37,M,Y,24.6,N,N,49,
7/11/24,0,2,WA-26,0.87,1.66,1.75,M,YO,34.2,N,N,55,
7/11/24,0,2,WA-27,0.63,0.81,1.18,M,G,13.2,N,N,41,
7/11/24,0,2,WA-28,0.82,1.72,1.59,M,Y,26.1,N,N,51,
7/11/24,0,2,WA-29,1.5,2,1.47,M,Y,59.3,N,N,64,unclear label
7/11/24,0,2,WA-30,1.07,1.13,1.16,F,YG,16.7,N,N,44,
7/12/24,22,1,WA-1,1.57,1.63,1.5,F,YO,24.4,N,N,50,
7/12/24,22,1,WA-2,1.72,2.03,1.41,M,Y,18.7,N,N,45,
7/12/24,22,1,WA-3,1.15,2.81,2.31,M,YO,28.9,N,N,51,
7/12/24,22,1,WA-4,1.13,1.69,3.97,M,YG,25.7,N,N,51,
7/12/24,22,1,WA-5,1.28,2.06,1.81,F,YO,21.6,N,N,49,
7/12/24,22,1,WA-6,1.28,1.75,1.78,M,Y,23.1,N,N,48,
7/12/24,22,1,WA-7,1.43,3.32,3.56,M,Y,52.5,N,N,61,
7/12/24,22,1,WA-8,1.44,1.53,1.53,M,YG,13.6,N,N,43,Left sided carapace injury
7/12/24,22,1,WA-9,1.25,1.71,1.38,M,Y,25.3,N,N,49,
7/12/24,22,1,WA-10,1.15,1.19,1.66,M,YO,18.3,N,N,45,
7/12/24,22,1,WA-11,1.25,6.15,5.68,M,YG,20.1,N,N,47,
7/12/24,22,1,WA-12,2.97,3.4,2.06,F,O,22.9,N,N,48,
7/12/24,22,1,WA-13,1.28,1.41,1.31,M,YG,21.6,N,N,47,
7/12/24,22,1,WA-14,1.56,1.91,1.22,F,Y,16.4,N,N,44,
7/12/24,22,1,WA-15,2.19,1.47,1.75,M,Y,50.6,N,N,61,
7/12/24,22,2,WA-16,1.5,1.47,1.66,M,YG,15.7,N,N,43,
7/12/24,22,2,WA-17,1.16,1.41,1.35,F,O,21.4,N,N,47,
7/12/24,22,2,WA-19,19.03,3.53,22.12,F,YG,19.5,N,N,46,
7/12/24,22,2,WA-20,11.5,1.3,3.4,M,YG,15.9,N,N,44,
7/12/24,22,2,WA-22,1.03,1.41,1.96,F,Y,26.9,N,N,52,
7/12/24,22,2,WA-23,1.12,1.02,1.28,M,YG,25.6,N,N,50,
7/12/24,22,2,WA-24,1.32,1.11,9.13,M,Y,20.3,N,N,45,
7/12/24,22,2,WA-25,1.44,1.21,1.66,M,Y,24.6,N,N,49,
7/12/24,22,2,WA-26,2.34,1.97,2.53,M,YO,34.2,N,N,55,
7/12/24,22,2,WA-27,1.22,1.47,1.6,M,G,13.2,N,N,41,
7/12/24,22,2,WA-28,22.25,20.47,17.66,M,Y,26.1,N,N,51,
7/12/24,22,2,WA-29,1.88,1.4,3.13,M,Y,59.3,N,N,64,
7/12/24,22,2,WA-30,1.94,4.25,3.41,F,YG,16.7,N,N,44,
