Plot Title: t13b,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20548773, SEN S/N: 20548773, LBL: t13b)",Coupler Detached (LGR S/N: 20548773),Coupler Attached (LGR S/N: 20548773),Host Connected (LGR S/N: 20548773),Stopped (LGR S/N: 20548773),End Of File (LGR S/N: 20548773)
5,7/31/23 11:14,14.804,,,,,
6,7/31/23 11:29,14.709,,,,,
7,7/31/23 11:44,14.804,,,,,
8,7/31/23 11:59,14.9,,,,,
9,7/31/23 12:14,14.996,,,,,
10,7/31/23 12:29,15.091,,,,,
11,7/31/23 12:44,15.187,,,,,
12,7/31/23 12:59,15.187,,,,,
13,7/31/23 13:14,15.282,,,,,
14,7/31/23 13:29,15.378,,,,,
15,7/31/23 13:44,15.378,,,,,
16,7/31/23 13:59,15.473,,,,,
17,7/31/23 14:14,15.664,,,,,
18,7/31/23 14:29,15.76,,,,,
19,7/31/23 14:44,15.76,,,,,
20,7/31/23 14:59,15.76,,,,,
21,7/31/23 15:14,15.855,,,,,
22,7/31/23 15:29,15.951,,,,,
23,7/31/23 15:44,16.046,,,,,
24,7/31/23 15:59,15.951,,,,,
25,7/31/23 16:14,15.951,,,,,
26,7/31/23 16:29,22.238,,,,,
27,7/31/23 16:44,25.416,,,,,
28,7/31/23 16:59,27.961,,,,,
29,7/31/23 17:14,29.552,,,,,
30,7/31/23 17:29,30.76,,,,,
31,7/31/23 17:44,31.37,,,,,
32,7/31/23 17:59,31.88,,,,,
33,7/31/23 18:14,32.188,,,,,
34,7/31/23 18:29,32.086,,,,,
35,7/31/23 18:44,32.188,,,,,
36,7/31/23 18:59,32.086,,,,,
37,7/31/23 19:14,31.983,,,,,
38,7/31/23 19:29,32.188,,,,,
39,7/31/23 19:44,32.188,,,,,
40,7/31/23 19:59,32.086,,,,,
41,7/31/23 20:14,32.188,,,,,
42,7/31/23 20:29,32.086,,,,,
43,7/31/23 20:44,32.086,,,,,
44,7/31/23 20:59,32.188,,,,,
45,7/31/23 21:14,31.983,,,,,
46,7/31/23 21:29,32.086,,,,,
47,7/31/23 21:44,32.086,,,,,
48,7/31/23 21:59,31.983,,,,,
49,7/31/23 22:14,32.086,,,,,
50,7/31/23 22:29,32.086,,,,,
51,7/31/23 22:44,31.983,,,,,
52,7/31/23 22:59,31.983,,,,,
53,7/31/23 23:14,31.983,,,,,
54,7/31/23 23:29,31.983,,,,,
55,7/31/23 23:44,32.086,,,,,
56,7/31/23 23:59,32.086,,,,,
57,8/1/23 0:14,32.086,,,,,
58,8/1/23 0:29,31.88,,,,,
59,8/1/23 0:44,31.983,,,,,
60,8/1/23 0:59,31.88,,,,,
61,8/1/23 1:14,32.188,,,,,
62,8/1/23 1:29,32.086,,,,,
63,8/1/23 1:44,31.983,,,,,
64,8/1/23 1:59,32.086,,,,,
65,8/1/23 2:14,31.983,,,,,
66,8/1/23 2:29,31.983,,,,,
67,8/1/23 2:44,31.983,,,,,
68,8/1/23 2:59,31.983,,,,,
69,8/1/23 3:14,31.983,,,,,
70,8/1/23 3:29,31.983,,,,,
71,8/1/23 3:44,32.086,,,,,
72,8/1/23 3:59,31.983,,,,,
73,8/1/23 4:14,32.086,,,,,
74,8/1/23 4:29,31.983,,,,,
75,8/1/23 4:44,31.983,,,,,
76,8/1/23 4:59,31.983,,,,,
77,8/1/23 5:14,31.983,,,,,
78,8/1/23 5:29,31.983,,,,,
79,8/1/23 5:44,31.983,,,,,
80,8/1/23 5:59,32.086,,,,,
81,8/1/23 6:14,31.983,,,,,
82,8/1/23 6:29,32.086,,,,,
83,8/1/23 6:44,32.086,,,,,
84,8/1/23 6:59,32.086,,,,,
85,8/1/23 7:14,32.086,,,,,
86,8/1/23 7:29,31.983,,,,,
87,8/1/23 7:44,32.086,,,,,
88,8/1/23 7:59,31.983,,,,,
89,8/1/23 8:14,31.983,,,,,
90,8/1/23 8:29,31.983,,,,,
91,8/1/23 8:44,31.983,,,,,
92,8/1/23 8:59,31.778,,,,,
93,8/1/23 9:14,31.472,,,,,
