
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	raw value	OFF	SC7-540-211	3	OFF	15.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	15.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	15.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-540-211	3	OFF	15.000	ON	1013	0.000	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Not Calibrated	24.000	NaN	1012	65.911	20.950	51.458	20.392	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.000	15.000	1019	100.000	20.950	51.925	21.732	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.000	15.000	1019	100.000	20.950	49.383	22.947	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.000	15.000	1019	100.000	20.950	48.874	22.347	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/1/2023	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/1/2023	13:17:52	0.00		-2.1073E+5	102.44	104.71	101.15	15.000	15.000	15.000	15.000	1019.09	53.442	---	---	---	177.411	21.458	22.436	22.220	7.432	321.005	127.600	295.681	11.890	6.168	6.620	5.751	
8/1/2023	13:17:53	1.38		-2.1072E+5	102.48	104.73	101.14	15.000	15.000	15.000	15.000	1019.11	53.442	---	---	---	177.337	21.454	22.435	22.221	7.442	320.981	127.617	295.644	11.536	6.144	6.605	5.779	
8/1/2023	13:17:54	2.43		-2.1073E+5	102.42	104.75	101.21	15.000	15.000	15.000	15.000	1019.09	53.422	---	---	---	177.405	21.460	22.433	22.215	7.457	321.062	127.618	295.604	10.962	6.135	6.612	5.835	
8/1/2023	13:17:55	3.49		-2.1073E+5	102.33	104.76	101.27	15.000	15.000	15.000	15.000	1019.07	53.392	---	---	---	177.506	21.470	22.432	22.208	7.507	321.259	127.605	295.597	10.133	6.127	6.622	5.852	
8/1/2023	13:17:57	4.57		-2.1073E+5	102.21	104.78	101.33	15.000	15.000	15.000	15.000	1019.07	53.354	---	---	---	177.720	21.484	22.430	22.202	7.563	321.464	127.717	295.629	9.711	6.141	6.623	5.831	
8/1/2023	13:17:58	5.63		-2.1073E+5	102.20	104.84	101.31	15.000	15.000	15.000	15.000	1019.08	53.323	---	---	---	177.876	21.485	22.424	22.204	7.627	321.425	127.839	295.667	9.345	6.158	6.620	5.808	
8/1/2023	13:17:59	6.67		-2.1073E+5	102.27	104.84	101.25	15.000	15.000	15.000	15.000	1019.09	53.313	---	---	---	177.828	21.476	22.423	22.210	7.632	321.313	127.953	295.687	9.146	6.150	6.608	5.820	
8/1/2023	13:18:00	7.72		-2.1073E+5	102.93	104.86	101.22	15.000	15.000	15.000	15.000	1019.09	53.303	---	---	---	177.858	21.404	22.421	22.213	7.638	320.178	127.746	295.628	9.091	6.162	6.618	5.843	
8/1/2023	13:18:01	8.78		-2.1073E+5	103.36	104.78	101.27	15.000	15.000	15.000	15.000	1019.07	53.275	---	---	---	177.813	21.357	22.430	22.209	7.627	319.459	127.361	295.586	9.173	6.175	6.616	5.857	
8/1/2023	13:18:02	9.86		-2.1073E+5	103.73	-741.46	101.24	15.000	15.000	15.000	15.000	1019.08	53.226	---	---	---	177.773	21.317	74.076	22.211	7.577	318.800	87.218	295.567	8.980	6.174	7.378	5.878	
8/1/2023	13:18:03	10.93		-2.1073E+5	103.53	-1781.5	101.21	15.000	15.000	15.000	15.000	1019.09	53.165	---	---	---	177.612	21.339	125.905	22.214	7.512	319.131	47.304	295.580	8.579	6.151	8.475	5.886	
8/1/2023	13:18:04	11.99		-2.1072E+5	103.71	-2642.8	101.19	15.000	15.000	15.000	15.000	1019.11	53.096	---	---	---	177.558	21.319	177.563	22.216	7.482	318.810	7.527	295.598	8.262	6.126	9.918	5.876	
8/1/2023	13:18:05	13.16		-2.1072E+5	103.96	-2740.7	101.23	15.000	15.000	15.000	15.000	1019.12	53.046	---	---	---	177.518	21.292	177.666	22.212	7.490	318.267	7.526	295.567	8.114	6.124	10.560	5.874	
8/1/2023	13:18:06	14.35		-2.1072E+5	104.21	-2551.0	101.25	15.000	15.000	15.000	15.000	1019.11	53.015	---	---	---	177.477	21.265	177.489	22.209	7.494	317.739	7.507	295.529	8.063	6.127	10.718	5.849	
8/1/2023	13:18:07	15.54		-2.1073E+5	104.27	-2571.7	101.28	15.000	15.000	15.000	15.000	1019.09	53.023	---	---	---	177.475	21.259	177.512	22.206	7.469	317.552	7.524	295.454	7.833	6.146	10.464	5.874	
8/1/2023	13:18:09	16.61		-2.1073E+5	104.26	-2509.6	101.28	15.000	15.000	15.000	15.000	1019.09	53.043	---	---	---	177.557	21.260	177.449	22.207	7.458	317.530	7.532	295.404	7.766	6.139	10.292	5.855	
8/1/2023	13:18:10	17.67		-2.1073E+5	104.19	-2561.8	101.35	15.000	15.000	15.000	15.000	1019.08	53.074	---	---	---	177.452	21.268	177.507	22.199	7.458	317.597	7.515	295.353	7.652	6.149	10.231	5.851	
8/1/2023	13:18:11	18.75		-2.1072E+5	104.06	-2566.9	101.33	15.000	15.000	15.000	15.000	1019.11	53.114	---	---	---	177.634	21.281	177.512	22.201	7.523	317.437	7.514	295.216	8.120	6.136	11.225	5.820	
8/1/2023	13:18:12	19.81		-2.1072E+5	104.03	-2556.7	101.37	15.000	15.000	15.000	15.000	1019.10	53.165	---	---	---	177.778	21.284	177.501	22.197	7.559	321.408	7.518	295.246	8.838	6.173	12.126	5.846	
8/1/2023	13:18:13	20.87		-2.1072E+5	103.99	-2525.2	101.34	15.000	15.000	15.000	15.000	1019.11	53.226	---	---	---	177.888	21.289	177.467	22.200	7.568	325.052	7.531	295.295	9.813	6.141	12.995	5.876	
8/1/2023	13:18:14	22.15		-2.1072E+5	103.95	-2515.2	101.32	15.000	15.000	15.000	15.000	1019.14	53.275	---	---	---	177.807	21.293	177.457	22.202	7.525	327.878	7.511	295.444	10.097	6.095	12.825	5.897	
8/1/2023	13:18:15	23.21		-2.1071E+5	103.78	-2567.0	101.34	15.000	15.000	15.000	15.000	1019.16	53.305	---	---	---	177.698	21.310	177.511	22.199	7.531	326.110	7.511	295.512	9.963	6.023	12.509	5.890	
