term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRthreshSubsetSex,6,121.74690175727,138.764593198979,-54.873450878635,109.74690175727,NA,NA,NA,NA
TTRthreshSubsetModelDV,7,123.746683776907,143.600657125568,-54.8733418884537,109.746683776907,0.000217980362620551,1,0.988220334204413,1
TTRthreshSubsetIntegument,6,123.101130353296,140.118821795005,-55.550565176648,111.101130353296,NA,NA,NA,NA
TTRthreshSubsetModelDV,7,123.746683776907,143.600657125568,-54.8733418884537,109.746683776907,1.35444657638867,1,0.24450226204469,1
TTRthreshSubsetCW,6,121.761865139072,138.779556580781,-54.880932569536,109.761865139072,NA,NA,NA,NA
TTRthreshSubsetModelDV,7,123.746683776907,143.600657125568,-54.8733418884537,109.746683776907,0.0151813621645118,1,0.901938692436705,1
TTRthreshSubsetModelWeight,6,121.898954782829,138.916646224538,-54.9494773914145,109.898954782829,NA,NA,NA,NA
TTRthreshSubsetModelDV,7,123.746683776907,143.600657125568,-54.8733418884537,109.746683776907,0.152271005921648,1,0.696374482414362,1
TTRthreshSubsetModelSwimmer,6,122.744695420219,139.762386861927,-55.3723477101093,110.744695420219,NA,NA,NA,NA
TTRthreshSubsetModelDV,7,123.746683776907,143.600657125568,-54.8733418884537,109.746683776907,0.998011643311102,1,0.31779211077079,1
TTRthreshSubsetTreatment,3,99.2771805347668,107.786026255621,-46.6385902673834,93.2771805347668,NA,NA,NA,NA
TTRthreshSubsetEV,5,78.9435305475584,93.1249400823158,-34.4717652737792,68.9435305475584,24.3336499872084,2,5.20014008350482e-06,4.68012607515434e-05
TTRthreshSubsetTimepoint,3,95.7494942912105,104.258340012065,-44.8747471456053,89.7494942912105,NA,NA,NA,NA
TTRthreshSubsetEV,5,78.9435305475584,93.1249400823158,-34.4717652737792,68.9435305475584,20.8059637436522,2,3.03418724064629e-05,0.000273076851658166
TTRthreshSubsetInteraction,4,76.9435305008219,88.2886581286278,-34.471765250411,68.9435305008219,NA,NA,NA,NA
TTRthreshSubsetEV,5,78.9435305475584,93.1249400823158,-34.4717652737792,68.9435305475584,0,1,1,1
TTRthreshSubsetRevised,4,76.9435305008219,88.2886581286278,-34.471765250411,68.9435305008219,NA,NA,NA,NA
TTRthreshSubsetGenotype,5,75.2229710024676,89.404380537225,-32.6114855012338,65.2229710024676,3.7205594983543,1,0.0537463585328888,0.483717226795999
