term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRnullSex,7,641.703203737193,665.521945410299,-313.851601868596,627.703203737193,NA,NA,NA,NA
TTRmodelDV,8,643.702867144233,670.924286199211,-313.851433572116,627.702867144233,0.00033659296013866,1,0.985362456024168,1
TTRnullIntegument,7,641.873372590762,665.692114263868,-313.936686295381,627.873372590762,NA,NA,NA,NA
TTRmodelDV,8,643.702867144233,670.924286199211,-313.851433572116,627.702867144233,0.170505446529319,1,0.679662991529124,1
TTRnullCW,7,641.722982426742,665.541724099848,-313.861491213371,627.722982426742,NA,NA,NA,NA
TTRmodelDV,8,643.702867144233,670.924286199211,-313.851433572116,627.702867144233,0.0201152825089821,1,0.887215585779408,1
TTRnullWeight,7,641.72363996848,665.542381641586,-313.86181998424,627.72363996848,NA,NA,NA,NA
TTRmodelDV,8,643.702867144233,670.924286199211,-313.851433572116,627.702867144233,0.0207728242476151,1,0.885399548528483,1
TTRnullSwimmer,7,642.225918827909,666.044660501015,-314.112959413954,628.225918827909,NA,NA,NA,NA
TTRmodelDV,8,643.702867144233,670.924286199211,-313.851433572116,627.702867144233,0.523051683676158,1,0.469542815732795,1
TTRnullTreatment,4,545.165363073797,558.776072601286,-268.582681536899,537.165363073797,NA,NA,NA,NA
TTRmodelEV,6,471.473343268506,491.889407559739,-229.736671634253,459.473343268506,77.6920198052917,2,1.34707648594228e-17,1.61649178313074e-16
TTRnullTimepoint,4,629.256121366096,642.866830893585,-310.628060683048,621.256121366096,NA,NA,NA,NA
TTRmodelEV,6,471.473343268506,491.889407559739,-229.736671634253,459.473343268506,161.782778097591,2,7.40143795066448e-36,8.88172554079737e-35
TTRnullInteraction,5,521.282391640796,538.295778550158,-255.641195820398,511.282391640796,NA,NA,NA,NA
TTRmodelEV,6,471.473343268506,491.889407559739,-229.736671634253,459.473343268506,51.8090483722907,1,6.11692644433279e-13,7.34031173319935e-12
TTRmodelEV,6,471.473343268506,491.889407559739,-229.736671634253,459.473343268506,NA,NA,NA,NA
TTRfullGenotype,8,474.861168600532,502.08258765551,-229.430584300266,458.861168600532,0.61217466797342,2,0.736322310685075,1
TTRmodelEV,6,471.473343268506,491.889407559739,-229.736671634253,459.473343268506,NA,NA,NA,NA
TTRpresenceC,7,473.095848638054,496.91459031116,-229.547924319027,459.095848638054,0.377494630451793,1,0.538947126949552,1
TTRmodelEV,6,471.473343268506,491.889407559739,-229.736671634253,459.473343268506,NA,NA,NA,NA
TTRpresenceT,7,473.285431206821,497.104172879927,-229.642715603411,459.285431206821,0.187912061684017,1,0.664660101474953,1
TTRmodelEV,6,471.473343268506,491.889407559739,-229.736671634253,459.473343268506,NA,NA,NA,NA
TTRsource,7,472.203666154658,496.022407827764,-229.101833077329,458.203666154658,1.26967711384765,1,0.25982726185569,1
