term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRSubsetSex,7,462.433252409496,482.287225758156,-224.216626204748,448.433252409496,NA,NA,NA,NA
TTRSubsetDV,8,464.41103365433,487.101288909942,-224.205516827165,448.41103365433,0.0222187551657385,1,0.881506628521838,1
TTRSubsetIntegument,7,462.545628664171,482.399602012831,-224.272814332085,448.545628664171,NA,NA,NA,NA
TTRSubsetDV,8,464.41103365433,487.101288909942,-224.205516827165,448.41103365433,0.134595009840609,1,0.713714553560058,1
TTRSubsetCW,7,462.451053227383,482.305026576044,-224.225526613692,448.451053227383,NA,NA,NA,NA
TTRSubsetDV,8,464.41103365433,487.101288909942,-224.205516827165,448.41103365433,0.0400195730529163,1,0.84144231649274,1
TTRSubsetWeight,7,463.11715981077,482.97113315943,-224.558579905385,449.11715981077,NA,NA,NA,NA
TTRSubsetDV,8,464.41103365433,487.101288909942,-224.205516827165,448.41103365433,0.706126156439666,1,0.400732841500117,1
TTRSubsetSwimmer,7,465.479287804626,485.333261153287,-225.739643902313,451.479287804626,NA,NA,NA,NA
TTRSubsetDV,8,464.41103365433,487.101288909942,-224.205516827165,448.41103365433,3.06825415029618,1,0.0798351670725264,0.718516503652737
TTRSubsetTreatment,4,406.85085256946,418.195980197266,-199.42542628473,398.85085256946,NA,NA,NA,NA
TTRSubsetEV,6,340.443219771818,357.460911213527,-164.221609885909,328.443219771818,70.4076327976418,2,5.14252955166102e-16,4.62827659649492e-15
TTRSubsetTimepoint,4,428.90684398649,440.251971614296,-210.453421993245,420.90684398649,NA,NA,NA,NA
TTRSubsetEV,6,340.443219771818,357.460911213527,-164.221609885909,328.443219771818,92.4636242146721,2,8.35178130072069e-21,7.51660317064862e-20
TTRSubsetInteraction,5,374.526718716435,388.708128251192,-182.263359358217,364.526718716435,NA,NA,NA,NA
TTRSubsetEV,6,340.443219771818,357.460911213527,-164.221609885909,328.443219771818,36.0834989446165,1,1.89040870687288e-09,1.7013678361856e-08
TTRSubsetEV,6,340.443219771818,357.460911213527,-164.221609885909,328.443219771818,NA,NA,NA,NA
TTRSubsetfullGenotype,7,339.391137174097,359.245110522758,-162.695568587049,325.391137174097,3.05208259772093,1,0.0806336843872429,0.725703159485186
