treatment,timepoint,mean,sd
1.5C,0,1.77706349206349,1.43976251474035
1.5C,1,1.97133333333333,1.39202589000039
1.5C,2,15.9367261904762,10.2671006450099
1.5C,3,22.9323333333333,18.4733440995999
1.5C,4,33.9973333333333,23.305340834851
1.5C,5,33.5877777777778,22.2853203181714
5C,0,1.34735042735043,0.564417714485691
5C,1,1.55565656565657,1.04137111968911
5C,2,5.19488095238095,4.72684335825199
5C,3,5.69484848484848,2.98096212004365
5C,4,5.51666666666667,4.9104506846038
5C,5,4.3397619047619,3.3672661218756
