term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRthreshSex,6,176.602397630036,199.079616773277,-82.3011988150182,164.602397630036,NA,NA,NA,NA
TTRthreshModelDV,7,178.057684061438,204.281106395219,-82.0288420307188,164.057684061438,0.544713568598638,1,0.460485808827927,1
TTRthreshIntegument,6,176.070440478548,198.547659621789,-82.0352202392738,164.070440478548,NA,NA,NA,NA
TTRthreshModelDV,7,178.057684061438,204.281106395219,-82.0288420307188,164.057684061438,0.0127564171100119,1,0.910074706938413,1
TTRthreshCW,6,178.562317859633,201.039537002874,-83.2811589298167,166.562317859633,NA,NA,NA,NA
TTRthreshModelDV,7,178.057684061438,204.281106395219,-82.0288420307188,164.057684061438,2.50463379819578,1,0.113511868153468,1
TTRthreshModelWeight,6,177.658862255333,200.136081398574,-82.8294311276663,165.658862255333,NA,NA,NA,NA
TTRthreshModelDV,7,178.057684061438,204.281106395219,-82.0288420307188,164.057684061438,1.60117819389501,1,0.205736323380769,1
TTRthreshModelSwimmer,6,176.21181043283,198.689029576071,-82.1059052164149,164.21181043283,NA,NA,NA,NA
TTRthreshModelDV,7,178.057684061438,204.281106395219,-82.0288420307188,164.057684061438,0.154126371392067,1,0.694622831546222,1
TTRthreshNullTreatment,3,150.864955118045,162.103564689665,-72.4324775590225,144.864955118045,NA,NA,NA,NA
TTRthreshModelEV,5,127.761460176668,146.492476129369,-58.8807300883341,117.761460176668,27.1034949413766,2,1.30181974210267e-06,1.5621836905232e-05
TTRthreshNullTimepoint,3,147.222470743078,158.461080314698,-70.6112353715389,141.222470743078,NA,NA,NA,NA
TTRthreshModelEV,5,127.761460176668,146.492476129369,-58.8807300883341,117.761460176668,23.4610105664094,2,8.04463391509537e-06,9.65356069811445e-05
TTRthreshNullInteraction,4,125.761460098121,140.746272860282,-58.8807300490605,117.761460098121,NA,NA,NA,NA
TTRthreshModelEV,5,127.761460176668,146.492476129369,-58.8807300883341,117.761460176668,0,1,1,1
TTRthreshModelRevised,4,125.761460098121,140.746272860282,-58.8807300490605,117.761460098121,NA,NA,NA,NA
TTRthreshGenotype,6,127.126115215843,149.603334359084,-57.5630576079216,115.126115215843,2.63534488227781,2,0.267757799273582,1
TTRthreshModelRevised,4,125.761460098121,140.746272860282,-58.8807300490605,117.761460098121,NA,NA,NA,NA
TTRthreshpresenceC,5,125.156494751767,143.887510704468,-57.5782473758836,115.156494751767,2.60496534635382,1,0.106529486089428,1
TTRthreshModelRevised,4,125.761460098121,140.746272860282,-58.8807300490605,117.761460098121,NA,NA,NA,NA
TTRthreshpresenceT,5,127.698626089425,146.429642042126,-58.8493130447126,117.698626089425,0.0628340086959156,1,0.802071477998947,1
TTRthreshModelRevisedNull,2,171.793655151965,179.286061533046,-83.8968275759827,167.793655151965,NA,NA,NA,NA
TTRthreshModelRevised2,3,147.222470743078,158.461080314698,-70.6112353715389,141.222470743078,26.5711844088877,1,2.5400412261954e-07,3.04804947143448e-06
