term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRthreshSubsetSex,5,105.056244318905,120.676064215921,-47.5281221594525,95.0562443189051,NA,NA,NA,NA
TTRthreshSubsetModelDV,6,104.007039709072,122.750823585492,-46.003519854536,92.0070397090721,3.049204609833,1,0.0807766937670987,0.64621355013679
TTRthreshSubsetIntegument,5,102.021842203487,117.641662100503,-46.0109211017433,92.0218422034867,NA,NA,NA,NA
TTRthreshSubsetModelDV,6,104.007039709072,122.750823585492,-46.003519854536,92.0070397090721,0.0148024944146243,1,0.903163935509641,1
TTRthreshSubsetCW,5,102.240638836955,117.860458733972,-46.1203194184777,92.2406388369555,NA,NA,NA,NA
TTRthreshSubsetModelDV,6,104.007039709072,122.750823585492,-46.003519854536,92.0070397090721,0.23359912788338,1,0.628867876397561,1
TTRthreshSubsetModelWeight,5,103.172312517949,118.792132414965,-46.5861562589743,93.1723125179485,NA,NA,NA,NA
TTRthreshSubsetModelDV,6,104.007039709072,122.750823585492,-46.003519854536,92.0070397090721,1.16527280887647,1,0.280374684316979,1
TTRthreshSubsetTreatment,3,94.1721235620388,103.544015500249,-44.0860617810194,88.1721235620388,NA,NA,NA,NA
TTRthreshSubsetEV,5,81.0618216395963,96.6816415366126,-35.5309108197982,71.0618216395963,17.1103019224425,2,0.000192550719460972,0.00154040575568778
TTRthreshSubsetTimepoint,3,84.4956928981611,93.8675848363709,-39.2478464490805,78.4956928981611,NA,NA,NA,NA
TTRthreshSubsetEV,5,81.0618216395963,96.6816415366126,-35.5309108197982,71.0618216395963,7.43387125856476,2,0.0243083436063794,0.194466748851035
TTRthreshSubsetInteraction,4,79.06182181559,91.557677733203,-35.530910907795,71.06182181559,NA,NA,NA,NA
TTRthreshSubsetEV,5,81.0618216395963,96.6816415366126,-35.5309108197982,71.0618216395963,1.75993690731957e-07,1,0.99966527465474,1
TTRthreshSubsetRevised,4,79.06182181559,91.557677733203,-35.530910907795,71.06182181559,NA,NA,NA,NA
TTRthreshSubsetGenotype,5,78.8081233170077,94.427943214024,-34.4040616585038,68.8081233170077,2.25369849858232,1,0.133295481500599,1
