term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRnullSex,7,978.507767359321,1004.52696126916,-482.25388367966,964.507767359321,NA,NA,NA,NA
TTRmodelDV,8,980.240987102937,1009.97720871419,-482.120493551468,964.240987102937,0.266780256383981,1,0.605499827122742,1
TTRnullIntegument,7,980.49568298075,1006.51487689059,-483.247841490375,966.49568298075,NA,NA,NA,NA
TTRmodelDV,8,980.240987102937,1009.97720871419,-482.120493551468,964.240987102937,2.25469587781311,1,0.133209623307299,1
TTRnullCW,7,980.295283112365,1006.31447702221,-483.147641556183,966.295283112365,NA,NA,NA,NA
TTRmodelDV,8,980.240987102937,1009.97720871419,-482.120493551468,964.240987102937,2.05429600942841,1,0.151777391641155,1
TTRnullWeight,7,978.988832585632,1005.00802649548,-482.494416292816,964.988832585632,NA,NA,NA,NA
TTRmodelDV,8,980.240987102937,1009.97720871419,-482.120493551468,964.240987102937,0.747845482694856,1,0.387159222156406,1
TTRnullSwimmer,7,978.674500675044,1004.69369458489,-482.337250337522,964.674500675044,NA,NA,NA,NA
TTRmodelDV,8,980.240987102937,1009.97720871419,-482.120493551468,964.240987102937,0.433513572107131,1,0.510269909087143,1
TTRnullTreatment,4,773.451548291759,788.319659097383,-382.725774145879,765.451548291759,NA,NA,NA,NA
TTRmodelEV,6,663.65383721509,685.956003423527,-325.826918607545,651.65383721509,113.797711076669,2,1.94599183217461e-25,2.14059101539207e-24
TTRnullTimepoint,4,947.49541945849,962.363530264115,-469.747709729245,939.49541945849,NA,NA,NA,NA
TTRmodelEV,6,663.65383721509,685.956003423527,-325.826918607545,651.65383721509,287.8415822434,2,3.13324665499262e-63,3.44657132049189e-62
TTRnullInteraction,5,727.601062258539,746.18620076557,-358.80053112927,717.601062258539,NA,NA,NA,NA
TTRmodelEV,6,663.65383721509,685.956003423527,-325.826918607545,651.65383721509,65.9472250434494,1,4.63160062241551e-16,5.09476068465707e-15
TTRmodelEV,6,663.65383721509,685.956003423527,-325.826918607545,651.65383721509,NA,NA,NA,NA
TTRfullGenotype,8,666.596393429277,696.332615040526,-325.298196714638,650.596393429277,1.05744378581346,2,0.589357750830224,1
TTRmodelEV,6,663.65383721509,685.956003423527,-325.826918607545,651.65383721509,NA,NA,NA,NA
TTRpresenceC,7,665.253041046377,691.27223495622,-325.626520523188,651.253041046377,0.400796168713214,1,0.526678368438591,1
TTRmodelEV,6,663.65383721509,685.956003423527,-325.826918607545,651.65383721509,NA,NA,NA,NA
TTRpresenceT,7,665.114265104371,691.133459014215,-325.557132552186,651.114265104371,0.539572110718495,1,0.462610111740679,1
