term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value,p.adj
TTRnullTreatment,9,778.340106824723,811.793356137379,-380.170053412362,760.340106824723,NA,NA,NA,NA
TTRmodel,11,670.929248132054,711.816552847522,-324.464624066027,648.929248132054,111.410858692669,2,6.41858686197908e-25,3.85115211718745e-24
TTRnullTimepoint,9,951.292713377977,984.745962690633,-466.646356688988,933.292713377977,NA,NA,NA,NA
TTRmodel,11,670.929248132054,711.816552847522,-324.464624066027,648.929248132054,284.363465245923,2,1.78343832202313e-62,1.07006299321388e-61
TTRnullInteraction,10,734.313783524003,771.484060538065,-357.156891762001,714.313783524003,NA,NA,NA,NA
TTRmodel,11,670.929248132054,711.816552847522,-324.464624066027,648.929248132054,65.3845353919489,1,6.16205494540484e-16,3.6972329672429e-15
TTRmodelReduced,11,670.929248132054,711.816552847522,-324.464624066027,648.929248132054,NA,NA,NA,NA
TTRfullGenotype,13,673.565429067094,721.886789185375,-323.782714533547,647.565429067094,1.36381906495967,2,0.505650513818593,1
TTRmodelReduced,11,670.929248132054,711.816552847522,-324.464624066027,648.929248132054,NA,NA,NA,NA
TTRpresenceC,12,672.256205162294,716.860537579169,-324.128102581147,648.256205162294,0.673042969759535,1,0.411992696780084,1
TTRmodelReduced,11,670.929248132054,711.816552847522,-324.464624066027,648.929248132054,NA,NA,NA,NA
TTRpresenceT,12,672.421297943469,717.025630360343,-324.210648971734,648.421297943469,0.507950188585141,1,0.476027552611779,1
