term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRnullSexME,8,114.151048512425,130.905805010202,-49.0755242562127,98.1510485124254,NA,NA,NA,NA
TTRmodelMEDV,9,115.963491204786,134.812592264785,-48.981745602393,97.9634912047859,0.187557307639423,1,0.664957472841732,1
TTRnullIntegumentME,8,113.965674084724,130.720430582501,-48.982837042362,97.9656740847239,NA,NA,NA,NA
TTRmodelMEDV,9,115.963491204786,134.812592264785,-48.981745602393,97.9634912047859,0.00218287993797617,1,0.962735353388304,1
TTRnullCWME,8,114.314806634021,131.069563131798,-49.1574033170105,98.314806634021,NA,NA,NA,NA
TTRmodelMEDV,9,115.963491204786,134.812592264785,-48.981745602393,97.9634912047859,0.351315429235029,1,0.553369440406909,1
TTRnullWeightME,8,114.118609075547,130.873365573324,-49.0593045377737,98.1186090755473,NA,NA,NA,NA
TTRmodelMEDV,9,115.963491204786,134.812592264785,-48.981745602393,97.9634912047859,0.155117870761387,1,0.693691741791528,1
TTRnullSwimmerME,8,114.002924771476,130.757681269253,-49.0014623857382,98.0029247714764,NA,NA,NA,NA
TTRmodelMEDV,9,115.963491204786,134.812592264785,-48.981745602393,97.9634912047859,0.0394335666904482,1,0.842592185532968,1
TTRnullTimepointME,3,105.709783567501,111.992817254167,-49.8548917837504,99.7097835675008,NA,NA,NA,NA
TTRmodelTimepointME,4,88.5435609716707,96.9209392205591,-40.2717804858354,80.5435609716707,19.1662225958301,1,1.19814859374038e-05,8.38704015618268e-05
TTRmodelTimepointME,4,88.5435609716707,96.9209392205591,-40.2717804858354,80.5435609716707,NA,NA,NA,NA
TTRfullGenotypeME,5,84.8968016373033,95.3685244484138,-37.4484008186517,74.8968016373033,5.64675933436739,1,0.0174876609967147,0.122413626977003
