term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRnullSexWA,7,116.114612415479,130.292074250625,-51.0573062077396,102.114612415479,NA,NA,NA,NA
TTRmodelWADV,8,117.125375338273,133.328188864155,-50.5626876691367,101.125375338273,0.989237077205757,1,0.319928910993277,1
TTRnullIntegumentWA,7,115.800983493532,129.978445328678,-50.9004917467659,101.800983493532,NA,NA,NA,NA
TTRmodelWADV,8,117.125375338273,133.328188864155,-50.5626876691367,101.125375338273,0.675608155258487,1,0.411103154880184,1
TTRnullCWWA,7,115.992204874178,130.169666709324,-50.9961024370892,101.992204874178,NA,NA,NA,NA
TTRmodelWADV,8,117.125375338273,133.328188864155,-50.5626876691367,101.125375338273,0.866829535905055,1,0.351834525008986,1
TTRnullWeightWA,7,115.702741045289,129.880202880435,-50.8513705226443,101.702741045289,NA,NA,NA,NA
TTRmodelWADV,8,117.125375338273,133.328188864155,-50.5626876691367,101.125375338273,0.577365707015204,1,0.447346736076062,1
TTRnullSwimmerWA,7,115.265639356451,129.443101191597,-50.6328196782256,101.265639356451,NA,NA,NA,NA
TTRmodelWADV,8,117.125375338273,133.328188864155,-50.5626876691367,101.125375338273,0.140264018177831,1,0.708018683477232,1
TTRnullTimepointWA,3,109.30641667877,115.382471750976,-51.6532083393852,103.30641667877,NA,NA,NA,NA
TTRmodelTimepointWA,4,90.4579945999377,98.5594013628783,-41.2289972999688,82.4579945999377,20.8484220788327,1,4.97101614529958e-06,4.47391453076962e-05
TTRmodelTimepointWA,4,90.4579945999377,98.5594013628783,-41.2289972999688,82.4579945999377,NA,NA,NA,NA
TTRfullGenotypeWA,6,93.9754702051701,106.127580349581,-40.987735102585,81.9754702051701,0.482524394767566,2,0.785635607779789,1
TTRmodelTimepointWA,4,90.4579945999377,98.5594013628783,-41.2289972999688,82.4579945999377,NA,NA,NA,NA
TTRpresenceCWA,10,99.4365769588565,119.690093866208,-39.7182884794283,79.4365769588565,3.02141764108113,6,0.806153929198129,1
TTRmodelTimepointWA,4,90.4579945999377,98.5594013628783,-41.2289972999688,82.4579945999377,NA,NA,NA,NA
TTRpresenceTWA,10,99.2160033204175,119.469520227769,-39.6080016602088,79.2160033204175,3.24199127952014,6,0.777918683981019,1
