term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value,p.adj
TTRnullTimepointWA,8,117.125375338273,133.328188864155,-50.5626876691367,101.125375338273,NA,NA,NA,NA
TTRmodelWA,9,97.4371241017707,115.665289318387,-39.7185620508854,79.4371241017707,21.6882512365026,1,3.20749731069894e-06,2.24524811748926e-05
TTRmodelWA,9,97.4371241017707,115.665289318387,-39.7185620508854,79.4371241017707,NA,NA,NA,NA
TTRfullGenotypeWA,11,101.15051907522,123.429387673307,-39.5752595376101,79.1505190752203,0.286605026550461,2,0.866491903939477,1
TTRmodelWA,9,97.4371241017707,115.665289318387,-39.7185620508854,79.4371241017707,NA,NA,NA,NA
TTRpresenceCWA,10,99.4365769588565,119.690093866208,-39.7182884794283,79.4365769588565,0.000547142914200549,1,0.981338315234253,1
TTRmodelWA,9,97.4371241017707,115.665289318387,-39.7185620508854,79.4371241017707,NA,NA,NA,NA
TTRpresenceTWA,10,99.2160033204175,119.469520227769,-39.6080016602088,79.2160033204175,0.221120781353207,1,0.638187263006839,1
TTRnullTimepointME,9,115.963491204786,134.812592264785,-48.981745602393,97.9634912047859,NA,NA,NA,NA
TTRmodelME,10,98.7620732484829,119.705518870704,-39.3810366242414,78.7620732484829,19.2014179563031,1,1.17625986572923e-05,8.23381906010462e-05
TTRnullIntensityME,9,96.8177642579397,115.666865317939,-39.4088821289699,78.8177642579397,NA,NA,NA,NA
TTRmodelME,10,98.7620732484829,119.705518870704,-39.3810366242414,78.7620732484829,0.055691009456865,1,0.813440874859586,1
TTRmodelMERevised,9,96.8177642579397,115.666865317939,-39.4088821289699,78.8177642579397,NA,NA,NA,NA
TTRfullGenotypeME,10,90.0931682127434,111.036613834964,-35.0465841063717,70.0931682127434,8.72459604519638,1,0.00313945620407402,0.0219761934285182
