treatment,day,presenceT,mean,sd
No Pulse,1,N,1.19333333333333,0.307562098517429
No Pulse,1,Y,1.5552380952381,0.665846320671161
No Pulse,2,N,1.08133333333333,0.154607028731987
No Pulse,2,Y,1.16619047619048,0.49445603696059
No Pulse,5,N,2.83366666666667,2.44444222222121
No Pulse,5,Y,6.16738095238095,6.01357706585557
Pulse,1,N,1.03111111111111,0.264077710223784
Pulse,1,Y,1.30888888888889,0.460416478129675
Pulse,2,N,1.03888888888889,0.183978662208823
Pulse,2,Y,1.34,0.778584898674797
Pulse,5,N,0.794444444444445,0.0564046228733202
Pulse,5,Y,1.31185185185185,0.676028252021219
