term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,p.adj
TTRnullSex,8,142.34805835653,160.561387308659,-63.174029178265,126.34805835653,NA,NA,NA,NA
TTRmodelDV,9,142.995938237844,163.485933308989,-62.4979691189222,124.995938237844,1.3521201186856,1,0.244907816534442,1
TTRnullIntegument,8,143.641262484048,161.854591436176,-63.8206312420238,127.641262484048,NA,NA,NA,NA
TTRmodelDV,9,142.995938237844,163.485933308989,-62.4979691189222,124.995938237844,2.64532424620312,1,0.10385496519892,1
TTRnullCW,8,141.234804766022,159.44813371815,-62.6174023830108,125.234804766022,NA,NA,NA,NA
TTRmodelDV,9,142.995938237844,163.485933308989,-62.4979691189222,124.995938237844,0.238866528177013,1,0.625025968987552,1
TTRnullWeight,8,142.041675702451,160.25500465458,-63.0208378512256,126.041675702451,NA,NA,NA,NA
TTRmodelDV,9,142.995938237844,163.485933308989,-62.4979691189222,124.995938237844,1.04573746460676,1,0.306490833548141,1
TTRnullSwimmer,8,146.118318555646,164.331647507775,-65.0591592778232,130.118318555646,NA,NA,NA,NA
TTRmodelDV,9,142.995938237844,163.485933308989,-62.4979691189222,124.995938237844,5.12238031780198,1,0.0236191970827986,0.259811167910784
TTRnullTreatment,7,139.43510850022,155.371771333332,-62.7175542501098,125.43510850022,NA,NA,NA,NA
TTRmodelEV,9,122.916585635084,143.406580706229,-52.4582928175422,104.916585635084,20.5185228651351,2,3.50315514495569e-05,0.000385347065945126
TTRnullDay,5,139.081073555691,150.464404150771,-64.5405367778455,129.081073555691,NA,NA,NA,NA
TTRmodelEV,9,122.916585635084,143.406580706229,-52.4582928175422,104.916585635084,24.1644879206065,4,7.4033854777237e-05,0.000814372402549607
TTRnullInteraction,7,134.609063384393,150.545726217506,-60.3045316921966,120.609063384393,NA,NA,NA,NA
TTRmodelEV,9,122.916585635084,143.406580706229,-52.4582928175422,104.916585635084,15.6924777493088,2,0.00039122063444656,0.00430342697891216
TTRmodelEV,9,122.916585635084,143.406580706229,-52.4582928175422,104.916585635084,NA,NA,NA,NA
TTRfullGenotype,11,123.399871892441,148.443199201617,-50.6999359462204,101.399871892441,3.51671374264363,2,0.172327788049533,1
TTRmodelEV,9,122.916585635084,143.406580706229,-52.4582928175422,104.916585635084,NA,NA,NA,NA
TTRpresenceC,10,123.251535773174,146.018196963334,-51.6257678865869,103.251535773174,1.66504986191063,1,0.196922878646808,1
TTRmodelEV,9,122.916585635084,143.406580706229,-52.4582928175422,104.916585635084,NA,NA,NA,NA
TTRpresenceT,10,122.182503106997,144.949164297158,-51.0912515534986,102.182503106997,2.73408252808711,1,0.098227899195159,1
