treatment,tank,probe_num,slope_nmol_hr,p.value,r.squared,slope_nmol_hr_blank,p.value_blank,r.squared_blank,slope_nmol_hr_corrected,blank_ratio
No_Pulse,tank10,4,-9310.98628673436,2.40460620651279e-72,0.748305052902389,-1709.24703102031,0,0.999362628283343,-7772.1151940022,0.183573144496575
No_Pulse,tank10,2,-22440.5195103246,1.50748539077487e-106,0.971853471724856,-1538.87109273216,0,0.998806614999521,-20650.4982530047,0.068575555571436
No_Pulse,tank10,3,-22867.6787031619,4.20474804743689e-63,0.885778169607061,-1790.02125731997,0,0.997153041004194,-21158.4316721416,0.078277348591244
No_Pulse,tank12,4,-3800.58226354768,7.5161912043329e-96,0.758672158703242,-488.590958597227,9.52564991916959e-225,0.895454986178182,-3465.91092020126,0.128556869636377
No_Pulse,tank12,3,-14335.3762629295,7.02127914468639e-112,0.920424909900223,-339.097774103092,0,0.975038838768709,-13996.2784888264,0.0236546127484621
No_Pulse,tank12,2,-25812.6330792894,1.01332317603046e-63,0.947102119482794,-334.671343346423,0,0.977472528486117,-25324.0421206921,0.0129654089266447
Pulse,tank11,3,-3021.32738079158,1.79859391380829e-219,0.873006844555474,-1854.82296276569,0,0.99559803249623,-1226.31763048113,0.613909957112866
Pulse,tank11,2,-13968.2374512229,5.2186340031326e-98,0.920211214079905,-1795.00975031045,0,0.999670729788091,-12113.4144884573,0.128506531806795
Pulse,tank13,2,-10123.3817292375,2.22848520323881e-145,0.912498316438067,-499.028918073428,0,0.998166352339346,-9624.35281116412,0.0492946854539894
Pulse,tank13,3,-7371.08718311822,1.85867469004785e-233,0.944280249740133,-432.76200796867,0,0.994122913038558,-6938.32517514955,0.058710743370369
